schemeCode,schemeName,isinGrowth,isinDivReinvestment
118773,reliance infrastructure fund - direct plan growth plan - growth,,
118778,nippon india small cap fund - direct plan growth plan - growth option,INF204K01K15,
118780,nippon india credit risk fund - direct plan - growth plan,INF204K01A74,
118784,nippon india value fund - direct plan growth plan,INF204K01K49,
118794,nippon india aggressive hybrid fund  - direct plan growth plan,INF204K01B08,
118796,nippon india short duration fund - direct plan growth plan - growth option,INF204K01B32,
118803,nippon india elss tax saver fund - direct plan growth plan - growth option,INF204K01L55,
118814,nippon india corporate bond fund - direct plan growth plan - growth option,INF204K01C15,
118820,indiabulls gilt fund - indirect plan - growth option,,
118825,mirae asset large cap fund - direct plan - growth,INF769K01AX2,
118831,mirae asset china advantage fund - direct plan - growth,,
118834,mirae asset large & midcap fund - direct plan - growth,INF769K01BI1,
118837,mirae asset great consumer fund - direct plan - growth,INF769K01BL5,
118847,mirae asset short term bond fund - direct plan - growth,,
118866,taurus elss tax saver fund - direct plan - growth,INF044D01CG6,INF044D01AA3
118868,taurus banking & financial services fund - direct plan - growth,INF044D01CN2,
118870,taurus large cap fund - direct plan - growth,INF044D01BX3,
118872,taurus mid cap fund - direct plan - growth,INF044D01CA9,
118874,taurus dynamic income fund-direct plan-growth option,,
118876,taurus ethical fund - direct plan - growth,INF044D01CJ0,
118879,taurus infrastructure fund - direct plan - growth ,INF044D01CD3,
118883,taurus flexi cap fund - direct plan - growth,INF044D01BU9,
118885,taurus mip advantage-direct plan-growth option,,
118887,taurus gilt fund-direct plan-growth option,,
118889,taurus short term income fund-direct plan-growth option,,
118924,dsp bond fund - direct plan - growth,INF740K01MZ3,
118927,hdfc focused large-cap fund -direct plan - growth option,,
118929,hdfc long term advantage plan - growth option - direct plan,,
118931,hdfc arbitrage fund - growth option - direct plan,INF179K01UU8,
118933,hdfc balanced fund -direct plan - growth option,,
118935,hdfc value fund - growth option - direct plan,INF179K01VC4,
118936,dws alpha equity fund - direct plan - growth,,
118939,dws investment opportunity fund - direct plan - growth,,
118946,dws tax saving fund - direct plan - growth,,
118950,hdfc focused fund - growth option - direct plan,INF179K01VK7,
118951,dws top euroland offshore fund - direct plan - growth,,
118955,hdfc flexi cap fund - growth option - direct plan,INF179K01UT0,
118961,hdfc floating rate debt fund - direct plan - growth option,INF179K01VQ4,
118965,dws equity income fund - direct plan - growth,,
118968,hdfc balanced advantage fund - growth plan - direct plan,INF179K01WA6,
118972,dws income advantage fund - direct plan - growth,,
118975,dws premier bond fund - direct plan - growth,,
118979,hdfc infrastructure fund - growth option - direct plan,INF179K01WQ2,
118982,dws short maturity fund - direct plan - growth,,
118987,hdfc corporate bond fund - growth option - direct plan,INF179K01XD8,
118989,hdfc mid cap fund - growth option - direct plan,INF179K01XQ0,
118991,hdfc prudence fund -direct plan - growth option,,
119000,dws insta cash plus fund - direct plan - growth,,
119009,dws treasury fund - cash plan - direct plan - growth,,
119016,hdfc short term  debt fund - growth option - direct plan,INF179K01YM7,
119018,hdfc large cap fund - growth option - direct plan,INF179K01YV8,
119019,dsp aggressive hybrid fund - direct plan - growth,INF740K01NY4,
119022,dws treasury fund - investment - direct plan - growth,,
119028,dsp natural resources and new energy fund - direct plan - growth,INF740K01QA7,
119049,dws cash opportunities fund - direct plan - growth,,
119053,tata aggressive hybrid fund -direct plan- growth option,INF277K01MN2,
119054,dws gilt fund - direct plan - growth,,
119060,hdfc elss tax saver - growth option - direct plan,INF179K01YS4,
119062,hdfc hybrid equity fund - growth option - direct plan,INF179K01XZ1,
119069,hdfc income fund - growth option - direct plan,INF179K01WL3,
119071,dsp midcap fund - direct plan - growth,INF740K01PX1,
119075,hdfc dynamic debt fund - growth option - direct plan,INF179K01WB4,
119076,dsp flexi cap fund - direct plan - growth,INF740K01PI2,
119081,hdfc medium term debt fund - growth option - direct plan,INF179K01WI9,
119082,dsp credit risk fund - direct plan - growth,INF740K01OS4,
119096,dsp focused fund - direct plan - growth,INF740K01OB0,
119097,tata dynamic bond fund- direct plan-growth option,,
119099,dsp gilt fund - direct plan - growth,INF740K01NF3,
119104,tata corporate bond fund- direct plan-growth,,
119106,dsp savings fund - direct plan - growth,INF740K01NU2,
119112,hdfc floating rate income fund long -direct plan - growth option,,
119114,hdfc gilt fund short term plan -direct plan - growth option,,
119116,hdfc gilt fund - growth option - direct plan,INF179K01VS0,
119118,hdfc hybrid debt fund - growth option - direct plan,INF179K01XE6,
119121,hdfc mf mip stp -direct plan - growth option,,
119127,tata medium term fund- direct plan- growth option,,
119128,hdfc equity savings fund - growth option - direct plan,INF179K01XT4,
119131,hdfc multi-asset fund - growth option - direct plan,INF179K01XW8,
119133,groww largecap fund (formerly known as indiabulls blue chip fund) - direct plan - growth option,INF666M01600,
119140,morgan stanley growth fund - direct growth plan,,
119148,navi large cap equity fund-direct plan-growth option,,
119150,morgan stanley a.c.e. fund-direct growth plan,,
119151,essel flexible income fund-direct plan-growth option,,
119156,navi conservative hybrid fund-direct plan-growth option,,
119160,tata large cap fund -direct plan growth option,INF277K01QZ7,
119165,morgan stanley active bond fund - direct growth plan,,
119168,essel short term fund-direct plan-growth option,,
119172,tata ethical fund -direct plan- growth option,INF277K01NG4,
119176,navi 3 in 1 fund-direct plan-growth option,,
119178,tata mid cap fund - direct plan- growth option,INF277K01PY2,
119184,daiwa treasury advantage fund - direct - growth,,
119189,tata equity management fund - direct plan growth,,
119194,daiwa industry leaders fund - direct - growth,,
119196,daiwa government securities fund - short term plan - direct - growth option,,
119202,tata large & mid cap fund -direct plan- growth option,INF277K01MK8,
119208,morgan stanley multi asset fund- plan a - direct growth plan,,
119212,dsp small cap fund - direct plan - growth,INF740K01QD1,
119215,morgan stanley multi asset fund- plan b - direct growth plan,,
119218,dsp large & mid cap fund - direct plan - growth,INF740K01PL6,
119226,dsp short term fund - direct plan - growth,INF740K01NJ5,
119227,morgan stanley short term bond fund - direct growth,,
119231,tata value fund -direct plan growth option,INF277K01ND1,
119239,dsp strategic bond fund - direct plan - growth,INF740K01QG4,
119242,dsp elss tax saver fund - direct plan - growth,INF740K01OK1,
119243,tata infrastructure fund -direct plan -growth option,INF277K01PQ8,
119245,dsp blackrock technology.com fund - direct plan - growth,,
119247,dsp india t.i.g.e.r. fund - direct plan - growth,INF740K01PU7,
119250,dsp large cap fund - direct plan - growth,INF740K01PR3,
119251,tata retirement savings fund- progressive plan -direct plan-growth option,INF277K01QO1,
119255,tata retirement savings fund- moderate plan -direct plan-growth option,INF277K01QN3,
119256,tata retirement savings fund- conservative plan-direct plan-growth option,INF277K01QM5,
119269,tata growing economies infrastructure fund scheme a-direct plan growth,,
119271,dsp world agriculture fund - direct plan - growth,,
119273,tata growing economies infrastructure fund scheme b-direct plan growth,,
119291,l&t flexicap fund-direct plan-growth,,
119292,union flexi cap fund - direct plan - growth option,INF582M01633,
119296,tata young citizens' fund [upto 3 years]-direct plan growth,,
119298,l&t balanced advantage fund-direct plan-growth,,
119299,tata young citizens' fund [> 3 years upto 7 years]-direct plan growth,,
119307,union elss tax saver fund - direct plan - growth option,INF582M01765,
119308,l&t india large cap fund - direct plan - growth,,
119311,union dynamic bond fund - direct plan - growth option,INF582M01799,
119312,tata childrens fund-direct plan-growth option,INF277K01QW4,
119317,baroda pioneer psu bond fund - plan b (direct) - growth option,,
119318,union short term fund - direct plan - growth option,,
119323,tata contra fund -direct plan growth,,
119326,baroda hybrid equity fund - plan b (direct) - growth option,,
119327,union asset allocation fund - direct plan - growth option,,
119330,union kbc asset allocation fund - conservative plan - direct plan - growth option,,
119331,pinebridge india equity fund- direct plan- growth option,,
119333,baroda bnp paribas banking and financial services fund - direct - growth option,INF955L01971,
119337,baroda dynamic bond fund - plan b (direct) - growth option,,
119341,baroda bnp paribas gilt fund - direct plan - growth option,INF955L01AD7,
119343,pinebridge infrastructure & economic reform fund- direct plan- growth option,,
119347,l&t hybrid equity fund - direct plan-growth,,
119350,bank of india large & mid cap fund direct plan-growth,INF761K01652,
119351,bank of india elss tax saver -direct plan- growth,INF761K01884,
119354,baroda bnp paribas multi cap fund - direct plan - growth option,INF955L01AG0,
119362,baroda income fund - plan b (direct) - growth option,,
119364,bank of india manufacturing & infrastructure fund-direct plan-growth,INF761K01702,
119367,baroda large cap fund - plan b (direct) - growth option,,
119376,pinebridge india total return bond fund- direct plan- growth option,,
119382,bank of india short term income fund-direct plan- growth,INF761K01736,
119385,pinebridge india short term fund- direct plan- growth option,,
119389,baroda conservative hybrid fund - plan b (direct) - growth option,,
119392,baroda mid-cap fund- plan b (direct) - growth option,,
119393,bank of india conservative hybrid fund fund-direct plan-growth,INF761K01819,
119397,l&t large and midcap fund-direct plan-growth,,
119400,baroda bnp paribas short duration fund - direct plan - growth option,INF955L01BD5,
119404,l&t india value fund-direct plan-growth,,
119407,l&t indo asia fund-direct plan-growth option,,
119410,baroda treasury advantage fund - plan b (direct) - growth option,,
119413,l&t infrastructure fund -direct plan-growth,,
119417,l&t  tax advantage fund-direct plan-growth,,
119425,l&t gilt fund - direct plan - growth,,
119428,l&t flexi bond fund - direct plan- growth,,
119434,principal retail equity savings fund - direct plan - growth option,,
119436,aditya birla sun life large & mid cap fund - growth - direct plan,INF209K01VH8,
119441,principal emerging bluechip fund - direct plan - growth option,,
119450,principal credit risk fund - direct plan - growth option,,
119451,principal multi cap growth fund - direct plan -half yearly income distribution cum capital withdrawal option,,
119452,principal multi cap growth fund-direct plan - growth option,,
119453,principal government securities fund-direct plan - growth option,,
119461,principal dynamic bond fund - direct plan - growth option,,
119462,principal short term debt fund- direct plan - growth option,,
119464,principal focused multicap fund- direct plan - growth option,,
119468,principal cash management fund - direct plan - growth option,,
119472,principal equity savings fund - direct plan - growth option,,
119479,principal corporate bond fund  - direct plan -growth option,,
119480,principal bank cd fund - direct plan - growth option,,
119482,principal balanced advantage fund - direct plan - growth option,,
119484,principal hybrid equity fund- direct plan - growth option,,
119488,principal nifty 100 equal weight fund - direct plan - growth option,,
