schemeCode,schemeName,isinGrowth,isinDivReinvestment
122596,dws hybrid fixed term fund - series 14 - direct plan - growth,,
122615,reliance fixed horizon fund - xxiii - series 12 - direct plan - growth  option,,
122621,sbi debt fund series - 366 days - 29 - direct plan - growth,,
122626,uti ftif series xv -iv (368 days) - growth option - direct,,
122639,parag parikh flexi cap fund - direct plan - growth,INF879O01027,
122646,aditya birla sun life floating rate fund-direct plan-growth,INF209K01UX7,
122698,dsp blackrock dual advantage fund - series 16 - 36m - direct plan - growth option,,
122702,reliance dual advantage fixed tenure fund iii - plan d - direct plan - growth option,,
122715,360 one dynamic bond fund direct plan growth,INF579M01266,
122732,idfc ftp - series 20(366 days)-direct plan-growth,,
122746,tata dual advantage fund scheme a-direct plan:growth,,
122761,uti ftif series xv -v (366 days) - growth option -direct,,
122790,sbi debt fund series - 366 days - 30 - direct plan - growth,,
122813,sbi debt fund series - 366 days - 31 - direct plan - growth,,
122819,union kbc capital protection oriented fund - series 3 - direct plan - growth option,,
122829,uti ftif series xv -vi (368 days) - growth option - direct,,
122847,reliance fixed horizon fund - xxiv - series 1 - direct plan - growth option,,
122854,bnp paribas capital protection oriented fund series ii - direct plan - growth option,,
122858,idfc ftp - series 21(370 days)- direct plan-growth,,
122902,reliance fixed horizon fund - xxiv - series 2 - direct plan - growth option,,
122905,sbi debt fund series - 366 days - 32 - direct plan - growth,,
122913,reliance dual advantage fixed tenure fund iv - plan a - direct plan -growth option,,
122919,uti ftif series xv -vii (369 days) -growth option - direct,,
122947,birla sun life fixed term plan - series hb (366 days) - direct plan-growth,,
122951,axis hybrid fund - series 5 (1346 days) - direct plan - growth,,
122976,idfc ftp - series 23 (365 days) -direct plan_growth,,
122994,sbi debt fund series - 366 days - 33 - direct plan - growth,,
123007,aditya birla sun life fixed term plan - series hc (1099 days) - direct plan-growth,,
123012,jpmorgan us value equity offshore fund - direct plan - growth option,,
123018,idfc ftp-s 24(729 days) -direct plan_growth,,
123030,idfc ftp -s 25 (729 days)_direct plan_growth,,
123043,bnp paribas fixed term fund series - 26 a - direct plan - growth option,,
123051,reliance fixed horizon fund - xxiv - series 3-direct plan - growth option,,
123065,axis hybrid fund series 6 (1324 days) - direct - growth,,
123067,bnp paribas fixed term fund series - 26 b - direct plan - growth option,,
123072,reliance fixed horizon fund - xxiv - series 4-direct plan - growth option,,
123101,pramerica fixed duration fund - series 6 - direct plan - growth,,
123122,uti ftif series xv -viii (368 days) - growth option - direct,,
123134,uti ftif series xv -ix (366 days)- growth option - direct,,
123151,reliance fixed horizon fund - xxiv - series 5 - direct plan - growth option,,
123165,sbi debt fund series - 90 days - 75 - direct plan - growth,,
123169,sbi debt fund series - 366 days - 34 - direct plan - growth,,
123205,reliance fixed horizon fund - xxiv - series 6 - direct plan - growth option,,
123211,reliance fixed horizon fund - xxiv - series 7 - direct plan - growth option,,
123218,sundaram hybrid fund series a direct plan growth,,
123235,aditya birla sun life fixed term plan - series hi (1099 days) - direct plan-growth,,
123248,dsp blackrock ftp - series 31 - 36m - direct plan - growth option,,
123254,hsbc fixed term series 91-growth direct,,
123286,dsp blackrock dual advantage fund - series 17 - 35m - direct plan - growth option (maturity date 10-oct-2016),,
123312,bnp paribas fixed term fund series - 26 c - direct plan - growth option,,
123318,sbi debt fund series - 90 days - 76 - direct plan - growth,,
123324,sbi debt fund series - 366 days - 35 - direct plan - growth,,
123331,pramerica fixed duration fund - series 7 - direct plan - growth,,
123334,pramerica fixed duration fund - series 8 - direct plan - growth,,
123344,reliance fixed horizon fund - xxiv - series 8-direct plan-growth option,,
123353,idfc ftp - s 26 (489 days) _direct plan growth,,
123374,reliance fixed horizon fund - xxiv - series 9 -direct plan -growth option,,
123433,aditya birla sun life fixed term plan - series hk (1100 days) - direct plan-growth,,
123442,aditya birla sun life fixed term plan - series hj (1105 days) - direct plan-growth,,
123451,reliance dual advantage fixed tenure fund iv - plan b - direct plan - growth option,,
123457,reliance fixed horizon fund - xxiv - series 10 - direct plan - growth option,,
123459,reliance fixed horizon fund - xxiv - series 11 - direct plan - growth option,,
123463,sundaram fixed term plan dp direct plan growth,,
123473,sundaram fixed term plan do direct plan growth,,
123477,sbi debt fund series - 180 days - 26 - direct plan - growth,,
123490,sbi debt fund series - 90 days - 77 - direct plan - growth,,
123494,sbi debt fund series - 366 days - 36 - direct plan - growth,,
123500,axis fixed term plan - series 36 (34 days) - direct plan - growth,,
123504,reliance fixed horizon fund - xxiv - series 12 -direct plan -growth option,,
123513,idfc ftp - s 27 (366 days)_direct plan growth,,
123537,hdfc cpo - i - 36m august 2013 - direct option - growth option,,
123569,reliance fixed horizon fund - xxiv - series 13 -direct plan -growth option,,
123587,idfc ftp - series 28 (1098 days) _direct plan_growth,,
123593,reliance fixed horizon fund - xxiv - series 14 -direct plan -growth option,,
123602,aditya birla sun life fixed term plan - series hl (1463 days) - direct plan-growth,,
123637,idbi equity advantage fund - growth direct,,
123649,sbi debt fund series - 36 months - 4 - direct plan - growth,,
123667,uti ftif series xv -x (368 days) - growth option -direct,,
123693,kotak banking and psu debt direct - growth,INF174K01KH7,
123694,idfc ftp - series 29(485 days)_direct plan_growth,,
123704,groww short duration fund (formerly known as indiabulls short term fund) - direct plan - growth option,INF666M01AC0,
123717,hsbc fixed term series 94-growth direct,,
123723,hsbc fixed term series 95-growth direct,,
123729,sbi debt fund series - 366 days - 37 - direct plan - growth,,
123742,reliance fixed horizon fund - xxiv - series 15-direct plan -growth option,,
123748,sundaram fixed term plan dr direct plan growth,,
123757,sundaram fixed term plan ds direct plan growth,,
123760,sundaram fixed term plan dt direct plan growth,,
123772,idfc ftp - series 30_direct plan_growth,,
123789,idfc ftp - series 31 (729 days)_direct plan_growth,,
123797,pramerica fixed duration fund - series 10 - direct plan - growth,,
123805,aditya birla sun life fixed term plan - series hm (1098 days) - direct plan-growth,,
123813,birla sun life fixed term plan - series hn (197 days) - direct plan-growth,,
123816,birla sun life fixed term plan - series ho (91 days) - direct plan-growth,,
123823,birla sun life fixed term plan - series hp (30 days) - direct plan-growth,,
123828,aditya birla sun life fixed term plan - series hq (1098 days) - direct plan-growth,,
123836,sundaram fixed term plan dq direct plan growth,,
123846,bnp paribas fixed term fund series - 27 a - direct plan - growth option,,
123869,bnp paribas fixed term fund series - 27 b - direct plan - growth option,,
123880,idfc ftp - series 32 (729 days)_direct plan_growth,,
123896,uti ftif series xvi - i (366 days) - growth option - direct,,
123905,jpmorgan india banking and psu debt fund - direct plan - growth option,,
123923,uti ftif series xvi - ii (1100 days) - growth option - direct,,
123930,uti ftif series xvi - iii (368 days) - growth option - direct,,
123980,axis hybrid fund - series 7 (1305 day) - direct plan - growth,,
123982,reliance fixed horizon fund - xxiv - series 16 - direct plan - growth plan,,
123997,sbi debt fund series - 366 days - 38 - direct plan - growth,,
124001,sbi debt fund series - 36 months - 5 - direct plan - growth,,
124013,hsbc fixed term series 96 - direct plan growth option,,
124047,aditya birla sun life fixed term plan - series hr (1096 days) - direct plan-growth,,
124053,aditya birla sun life fixed term plan - series hs (1465 days) - direct plan-growth,,
124060,birla sun life fixed term plan - series hu (30 days) - direct plan-growth,,
124064,aditya birla sun life fixed term plan - series hv (1098 days) - direct plan-growth,,
124071,aditya birla sun life fixed term plan - series hw (1099 days) - direct plan-growth,,
124076,axis fixed term plan - series 38 (92 days) - direct plan - growth option,,
124091,iifl short term income fund direct plan  growth option,,
124098,reliance fixed horizon fund - xxiv - series 17-direct plan -growth option,,
124113,dsp blackrock ftp - series 32 - 24m (maturity date 21 sep 2016) - direct plan - growth option,,
124118,dsp blackrock dual advantage fund - series 18 - 34m - direct plan - growth option (maturity date 10-oct-2016),,
124125,sundaram fixed term plan du direct plan growth,,
124130,sundaram fixed term plan dv direct plan growth,,
124136,sundaram fixed term plan dw direct plan growth,,
124175,dsp banking & psu debt fund - direct plan - growth,INF740K01ZW2,
124194,idfc ftp - series 33 (729 days)_direct plan_growth,,
124203,pramerica fixed duration fund - series 14 - direct plan - growth,,
124213,reliance fixed horizon fund - xxiv - series 18 -direct plan -growth option,,
124224,reliance fixed horizon fund - xxiv - series 19-direct plan- growth option,,
124249,reliance fixed horizon fund - xxiv - series 20 - direct plan - growth option,,
124262,reliance fixed horizon fund - xxiv - series 21 - direct plan - growth option,,
124269,axis fixed term plan - series 39 (31 days) - direct plan - growth,,
124279,idfc ftp - series 34 (728 days)_direct plan_growth,,
124291,sundaram fixed term plan dy direct plan growth,,
124297,sundaram fixed term plan dz direct plan growth,,
124339,reliance dual advantage fixed tenure fund iv - plan c - direct plan - growth option,,
124350,hdfc cpo - i - 36m september 2013 - direct option - growth option,,
124356,lic mf capital protection oriented fund series 1 - direct plan - growth,,
124370,sbi debt fund series - 366 days - 39 - direct plan - growth,,
124374,sbi debt fund series - 36 months - 6 - direct plan - growth,,
124378,idfc ftp - series 35 (732 days)-direct plan_growth,,
124391,idfc ftp - series 36-direct plan_growth,,
124402,birla sun life fixed term plan - series hx (91 days) - direct plan-growth,,
124410,aditya birla sun life fixed term plan - series hy (1098 days) - direct plan-growth,,
124427,idfc ftp - series 38 (166 days)- direct plan_growth,,
124440,idfc ftp - series 39 (506 days)- direct plan_growth,,
124461,birla sun life fixed term plan - series ia (1099 days) - direct plan-growth,,
124466,birla sun life fixed term plan - series ib (91 days) - direct plan-growth,,
124481,aditya birla sun life fixed term plan - series ic (1098 days) - direct plan-growth,,
124486,aditya birla sun life fixed term plan - series id (1094 days) - direct plan-growth,,
124491,axis fixed term plan - series 40 (91 days) - direct plan - growth,,
124525,sbi debt fund series - 366 days - 40 - direct plan - growth,,
124530,axis fixed term plan - series 41 (546 days) - direct plan - growth,,
124537,sbi debt fund series - 90 days - 78 - direct plan - growth,,
124555,uti ftif series xvi - iv (369 days) - growth option - direct,,
124604,idfc ftp - s 40 (729 days) -direct plan-growth,,
124673,uti ftif series xvi - v (731 days)- growth option - direct,,
124689,idfc ftp -s 41 (566 days)- direct plan_growth,,
124707,reliance fixed horizon fund - xxiv - series 22 - direct plan - growth option,,
124728,sbi debt fund series - 366 days - 41 - direct plan - growth,,
124735,idfc ftp -s 42  (731 days)-direct plan_growth,,
124765,aditya birla sun life fixed term plan - series ig (1098 days) - direct plan-growth,,
124788,idfc ftp -s 44 (730 days)_direct plan_growth,,
124817,union kbc trigger fund - series 1 - direct plan - growth option,,
124820,birla sun life fixed term plan - series ih (1098 days) - direct plan-growth,,
124825,birla sun life fixed term plan - series ij (91 days) - direct plan-growth,,
124829,reliance dual advantage fixed tenure fund iv - plan d - direct plan - growth option,,
124845,birla sun life fixed term plan - series ii (1099 days) - direct plan-growth,,
124856,aditya birla sun life fixed term plan - series il (1097 days) - direct plan-growth,,
124860,uti ftif series xvi - vi (369 days)- growth option - direct,,
124873,reliance fixed horizon fund - xxiv - series 23-direct plan-growth option,,
124887,sbi debt fund series - 90 days - 79 - direct plan - growth,,
124899,dws hybrid fixed term fund - series 17 - direct plan - growth,,
124914,dsp blackrock dual advantage fund - series 19 - 36m - direct plan - growth option,,
124925,uti ftif series xvi - vii (366 days) - growth option - direct,,
124940,sbi debt fund series - 366 days - 42 - direct plan - growth,,
124949,uti ftif series xvi - viii (368 days)- growth option - direct,,
124994,hsbc fixed term series 98 - direct plan growth option,,
125012,bnp paribas dual advantage fund - series i direct plan growth option,,
125017,axis fixed term plan - series 42 - direct plan - growth,,
125020,canara robeco capital protection oriented fund- series 2 (plan a) - direct plan - growth,,
125037,hdfc cpo - i - 36m october 2013 - direct option - growth option,,
125053,aditya birla sun life fixed term plan - series io (1097 days) - direct plan-growth,,
125057,aditya birla sun life capital protection oriented fund - series 16 - direct plan-growth,,
125058,sundaram hybrid fund series c direct plan growth,,
125073,aditya birla sun life fixed term plan - series ip (1100 days) - direct plan-growth,,
125090,uti ftif series xvi - ix (368 days) - growth option - direct,,
125152,reliance fixed horizon fund - xxiv - series 24 - direct plan - growth option,,
125156,birla sun life fixed term plan-series is (368 days) - direct plan-growth,,
125165,birla sun life fixed term plan - series it (367 days) - direct plan-growth,,
125170,aditya birla sun life fixed term plan - series iu (1099 days) - direct plan-growth,,
125189,hsbc fixed term series 97 - direct plan growth option,,
125192,reliance fixed horizon fund - xxiv - series 25- direct plan - growth option,,
125241,sbi debt fund series - 90 days - 80 - direct plan - growth,,
125244,sbi debt fund series - 366 days - 44 - direct plan - growth,,
125251,birla sun life fixed term plan - series iv (368 days) - direct plan-growth,,
125257,reliance fixed horizon fund - xxv - series 1-direct plan -growth option,,
125276,birla sun life fixed term plan - series iw (368 days) - direct plan-growth,,
125281,idfc ftp - series 48 (601 days)_direct plan_growth,,
125307,pgim india midcap fund - direct plan - growth option,INF663L01DV3,
125309,reliance fixed horizon fund - xxv - series 2-direct plan-growth option,,
125354,axis small cap fund - direct plan - growth,INF846K01K35,
125357,reliance fixed horizon fund - xxv - series 3 - direct plan - growth option,,
125371,boi axa capital protection oriented fund- series 1  direct growth,,
125372,uti ftif series xvi - x (369 days) - growth option - direct,,
125383,pinebridge india - us equity fund - direct plan - growth option,,
125390,reliance fixed horizon fund - xxv - series 4 - direct plan - growth option,,
125395,reliance fixed horizon fund - xxv - series 5 - direct plan - growth option,,
125403,hsbc fixed term series 99 - direct plan growth option,,
125409,sbi debt fund series - 366 days - 45 - direct plan - growth,,
125415,dsp blackrock ftp - series 33 - 24m - direct plan - growth option (maturity date 01-dec-2016),,
125417,sundaram fixed term plan er direct plan growth,,
125423,dws hybrid fixed term fund - series 19 - direct plan - growth,,
125429,axis fixed term plan - series 43 - direct plan - growth,,
125442,aditya birla sun life fixed term plan - series iy (1598 days) - direct plan-growth,,
125447,aditya birla sun life fixed term plan - series ix (1105 days) - direct plan-growth,,
125461,sbi debt fund series - 18 months - 13 - direct plan - growth,,
125472,idfc ftp s 49 (729 days)_direct plan_growth,,
125497,sbi small cap fund - direct plan - growth,INF200K01T51,
125503,sbi banking & psu fund - direct plan - growth,INF200K01V08,
125510,sbi benchmark gsec fund - direct plan- growth option,,
125517,aditya birla sun life capital protection oriented fund - series 17 - direct plan-growth,,
125522,sbi debt fund series - 366 days - 46 - direct plan - growth,,
125528,reliance fixed horizon fund - xxv - series 6 - direct plan - growth option,,
125532,union kbc capital protection oriented fund - series 4 - direct plan - growth option,,
125554,uti ftif series xvii - i (369 days) - growth option - direct,,
125581,aditya birla sun life fixed term plan - series ja (1464 days) - direct plan-growth,,
125587,birla sun life fixed term plan - series jb (91 days) - direct plan-growth,,
125597,aditya birla sun life banking and financial services fund - direct plan - growth,INF209K014W1,
125602,idfc ftp s-50 (729 days)_direct plan_growth,,
125609,idfc ftp s -51(597 days)_direct plan_growth,,
125651,sundaram hybrid fund series d direct plan growth,,
125658,sbi debt fund series - 366 days - 47 - direct plan - growth,,
125666,reliance fixed horizon fund - xxv - series 7 - direct plan - growth option,,
125680,hsbc fixed term series 100 - direct plan growth option,,
125699,birla sun life fixed term plan - series jd (91 days) - direct plan-growth,,
125711,shriram aggressive hybrid fund- direct growth,INF680P01042,
125716,reliance dual advantage fixed tenure fund iv - plan e - direct plan - growth option,,
125721,sbi debt fund series - 36 months - 7 - direct plan - growth,,
125727,idfc ftp s52(728 days)_direct plan_growth,,
125734,sbi debt fund series - 17 months - 1 - direct plan - growth,,
125756,uti ftif series xvii - ii (369 days) - growth option - direct,,
125769,sundaram fixed term plan es direct plan growth,,
125778,sundaram select micro cap series i - direct plan - growth option,,
125780,reliance fixed horizon fund - xxv - series 8 - direct plan - growth option,,
125785,birla sun life fixed term plan - series je (368 days) - direct plan-growth,,
125790,sbi debt fund series - 90 days - 81 - direct plan - growth,,
125794,sbi debt fund series - 366 days - 48 - direct plan - growth,,
125822,axis fixed term plan - series 44 (91 days) - direct plan - growth,,
125848,reliance fixed horizon fund - xxv - series 9 - direct plan - growth option,,
125886,reliance fixed horizon fund - xxv - series 10 - direct plan - growth option,,
125910,idfc ftp s-54(732 days)_direct plan_growth,,
125934,reliance fixed horizon fund - xxv - series 11 - direct plan - growth option,,
125944,birla sun life fixed term plan - series jg (368 days) - direct plan-growth,,
125957,reliance fixed horizon fund - xxv - series 12 - direct plan - growth option,,
125965,sbi debt fund series - 90 days - 82 - direct plan - growth,,
126015,aditya birla sun life fixed term plan - series jj (1092 days) - direct plan-growth,,
126050,idfc ftp s 57(594 days)_direct plan_growth,,
126067,aditya birla sun life fixed term plan - series ji (1099 days) - direct plan-growth,,
126094,sbi debt fund series - 366 days - 49 - direct plan - growth,,
126098,uti ftif series xvii - iii (366 days) - growth option - direct,,
126108,aditya birla sun life fixed term plan - series jk (1099 days) - direct plan-growth,,
126130,birla sun life fixed term plan - series jl (368 days) - direct plan-growth,,
126175,idfc ftp s-59(728 days)_direct plan_growth,,
126188,idfc ftp s-60(643 days)_direct plan_growth,,
126203,axis fixed term plan - series 47 - direct plan - growth,,
126205,sbi debt fund series - 16 months - 1 - direct plan - growth,,
126209,sbi debt fund series - 16 months - 2 - direct plan - growth,,
126221,birla sun life fixed term plan - series jn (368 days) - direct plan-growth,,
126228,aditya birla sun life fixed term plan - series jp (1175 days) - direct plan-growth,,
126251,axis fixed term plan - series 48 (30 days) - direct plan - growth,,
126256,reliance fixed horizon fund - xxv - series 13 - direct plan - growth option,,
126279,sbi tax advantage fund - series iii - direct plan - growth option,,
126299,idfc ftp s-62(636 days)_direct plan_growth,,
126305,uti ftif series xvii - v (366 days) - growth option - direct,,
126323,uti ftif series xvii - iv (531 days) - growth option - direct,,
126346,union capital protection oriented fund - series 5 - direct plan - growth option,,
126356,axis hybrid fund series 8 (1279 days) - direct plan - growth,,
126361,birla sun life fixed term plan-series jo (367 days)-direct plan-growth,,
126365,aditya birla sun life fixed term plan-series jq (1099 days)-direct plan-growth,,
126372,reliance fixed horizon fund - xxv - series 14-direct plan -growth option,,
126376,dsp blackrock ftp - series 36 - 15m - (maturity date 27 april 2017 ) - direct plan - growth option,,
126380,lic mf capital protection oriented fund-series 2-direct plan-growth,,
126393,dsp dynamic asset allocation fund - direct plan - growth,INF740K01K81,
126408,sundaram select micro cap series ii - direct plan - growth option,,
126416,sundaram fixed term plan eu direct plan growth,,
126432,idfc ftp -s 64(447 days) -direct plan_growth,,
126440,hdfc cpo - ii - 36m january 2014 - direct option - growth option,,
126453,aditya birla sun life fixed term plan - series jr (1162 days) - direct plan-growth,,
126455,dws inflation indexed bond fund - direct plan - growth,,
126465,sbi dual advantage fund series - i - direct plan - growth,,
126477,nippon india fixed horizon fund - xxv - series 15 - direct plan - growth option,,
126485,reliance fixed horizon fund - xxv - series 16 - direct plan - growth option,,
126497,kotak hybrid fixed term plan series 2 - direct plan - growth,,
126512,sbi debt fund series - 366 days - 50 - direct plan - growth,,
126536,idfc ftp-65(728 days)_direct plan_growth,,
126546,idfc ftp - s 66(1170 days)_direct plan_growth,,
126581,sbi debt fund series a - 1 direct - growth,,
126595,hsbc fixed term series 101 - direct plan growth option,,
126598,aditya birla sun life fixed term plan - corporate bond series a (1170 days) - direct plan-growth,,
126611,aditya birla sun life capital protection oriented fund - series 18 - direct plan-growth,,
126613,birla sun life fixed term plan-series js (368 days) - direct plan-growth,,
126619,jpmorgan europe dynamic equity offshore fund - growth option - direct plan,,
126629,uti ftif series xvii -vi (366 days)- growth option - direct,,
126639,aditya birla sun life focused equity fund - series 1 - direct plan-growth,,
126646,uti ftif series xvii -vii (465 days)- growth option - direct,,
126662,uti ftif series xvii -viii (1096 days)-growth option - direct,,
126671,birla sun life fixed term plan - series jt (367 days) - direct plan-growth,,
126685,canara robeco corporate bond fund - direct plan - growth option,INF760K01HB2,
126702,reliance fixed horizon fund - xxv - series 17 - direct plan - growth option,,
126713,idfc ftp-s67(729 days)_direct plan_growth,,
126735,birla sun life fixed term plan - series ju (369 days) - direct plan-growth,,
126745,aditya birla sun life fixed term plan - corporate bond series b (1168 days) - direct plan-growth,,
126748,sbi debt fund series - 366 days - 51 direct plan - growth,,
126759,axis fixed term plan - series 49 - direct plan - growth,,
126784,uti ftif series xvii -ix (466 days)-growth option - direct,,
126799,idfc ftp s-69(728 days)_direct plan_growth,,
126808,idfc ftp s-70(1169 days)_direct plan_growth,,
126820,idfc ftp s-71 (795 days)_direct plan_growth,,
126833,sundaram fixed term plan ew direct plan growth,,
126840,sundaram fixed term plan ex direct plan growth,,
126848,sundaram select micro cap series iii - direct plan - growth option,,
126869,ramerica fixed duration fund - series 17 - direct plan - growth option,,
126891,reliance fixed horizon fund - xxv - series 18 - direct plan - growth option,,
126895,hdfc rajiv gandhi equity savings scheme - series 2 - direct plan - growth option,,
126899,reliance dual advantage fixed tenure fund v - plan a - direct plan - growth option,,
126908,aditya birla sun life fixed term plan - series jx (1530 days) - direct plan-growth,,
126912,sbi debt fund series a - 2 direct - growth,,
126932,reliance fixed horizon fund - xxv - series 19 - direct plan - growth option,,
126940,uti banking & psu fund - direct plan - growth option,INF789F015Z6,
126946,idfc ftp - s72 (419 days)_direct plan_growth,,
126956,axis hybrid fund series 9 (1282 days) -  direct plan - growth,,
126977,reliance fixed horizon fund - xxv - series 20 - direct plan - growth option,,
126986,aditya birla sun life fixed term plan - series jy (1162 days) - direct plan-growth,,
127001,dsp blackrock ftp - series 37 - 14m (maturity date 27 april 2017) - direct plan - growth option,,
127030,axis fixed term plan - series 50 (3 months) - direct plan - growth,,
127042,motilal oswal midcap fund-direct plan-growth option,INF247L01445,
127046,idfc ftp - s 73 (50 days)_direct plan_growth,,
127055,birla sun life fixed term plan - series jz (368 days) - direct plan-growth,,
127062,aditya birla sun life fixed term plan - series ka (1154 days) - direct plan-growth,,
127067,reliance fixed horizon fund - xxv - series 21 - direct plan - growth option,,
127083,reliance fixed horizon fund - xxv - series 22 - direct plan - growth option,,
127099,sundaram fixed term plan ey direct plan growth,,
127111,sbi debt fund series a - 3 direct - growth,,
127116,uti ftif series xvii -x (1152 days)-growth option - direct,,
127152,jpmorgan india government securities fund - direct plan - growth option,,
127172,idfc ftp -s74(1169 days) -direct plan_growth,,
127181,idbi credit risk fund growth direct,,
127188,hsbc fixed term series 105 - direct plan growth option,,
127209,uti ftif series xvii -xi (430 days)-growth option - direct,,
127240,reliance fixed horizon fund - xxv - series 23 - direct plan - growth option,,
127245,birla sun life fixed term plan - series kb (367 days) - direct plan-growth,,
127264,reliance fixed horizon fund - xxv - series 24 - direct plan - growth option,,
127269,reliance dual advantage fixed tenure fund v - plan b - direct plan - growth option,,
127276,axis fixed term plan - series 52 - direct plan - growth,,
127278,axis fixed term plan - series 53 (1150 days) - direct plan - growth,,
127294,axis fixed term plan - series 55 (399 days) - direct plan - growth,,
127305,bnp paribas medium term fund - direct plan - growth option,,
127337,sbi debt fund series a - 4 direct - growth,,
127344,sbi debt fund series - 366 days - 52 - direct plan - growth,,
127349,aditya birla sun life fixed term plan - series kc (1159 days) - direct plan-growth,,
127362,reliance fixed horizon fund - xxv - series 25 - direct plan - growth option,,
127380,hdfc cpo - ii - 36m february 2014 - direct option - growth option,,
127395,aditya birla sun life fixed term plan - series ke (1511 days) - direct plan-growth,,
127407,tata dual advantage fund -scheme b direct plan growth,,
127423,dws medium term income fund- direct plan- growth,,
127444,uti ftif series xvii - xii (1148 days)-growth option - direct,,
127461,uti ftif series xvii - xiii (369 days)-growth option - direct,,
127472,dsp blackrock ftp - series 38 - 25m - direct plan - growth option (maturity date 17-apr-2017),,
127486,aditya birla sun life fixed term plan - series kd (1143 days) - direct plan-growth,,
127494,idfc ftp s-75(1170 days)_direct plan_growth,,
127516,sbi debt fund series a - 5 direct - growth,,
127523,reliance dual advantage fixed tenure fund v - plan c -direct plan -growth option,,
127535,aditya birla sun life capital protection oriented fund - series 19 - direct plan-growth,,
127538,reliance fixed horizon fund - xxv - series 26 - direct plan - growth option,,
127541,reliance fixed horizon fund - xxv - series 27 - direct plan - growth option,,
127547,reliance fixed horizon fund - xxv - series 28 - direct plan - growth option,,
127571,axis fixed term plan - series 57 (397 days) - direct plan - growth,,
127579,reliance fixed horizon fund - xxv - series 29 - direct plan - growth option,,
127589,aditya birla sun life fixed term plan - series kf (1140 days) - direct plan-growth,,
127596,aditya birla sun life fixed term plan - series kg (1136 days) - direct plan-growth,,
127603,aditya birla sun life fixed term plan - series kh (1505 days) - direct plan-growth,,
127631,uti ftif series xvii -xiv (423 days)-growth option - direct,,
127641,uti ftif series xvii -xv (1825 days)-growth option - direct,,
127669,sundaram select micro cap series iv - direct plan - growth option,,
127676,idfc ftp s-76(366 days)_direct plan_growth,,
127687,idfc ftp s-77(1170 days)_direct plan_growth,,
127692,sundaram fixed term plan fa direct plan growth,,
127698,sundaram fixed term plan fb direct plan growth,,
127711,sundaram fixed term plan fd direct plan growth,,
127730,hsbc fixed term series 106 - direct plan growth option,,
127735,reliance fixed horizon fund - xxv - series 30 - direct plan - growth option,,
127737,sundaram fixed term plan ff direct plan growth,,
127778,idfc ftp s-81(729 days)_direct plan_growth,,
127797,axis fixed term plan - series 59 (391 days) - direct plan - growth,,
127798,idfc ftp s -82(91 days)_direct plan_growth,,
127811,sbi debt fund series - 366 days - 53 - direct plan - growth,,
127816,uti ftif series xvii -xvi (367 days)-growth option - direct,,
127827,aditya birla sun life fixed term plan - series ki (1133 days) - direct plan-growth,,
127833,aditya birla sun life fixed term plan - series kj (1499 days) - direct plan-growth,,
127844,reliance fixed horizon fund - xxv - series 31 - direct plan - growth option,,
127850,bank of india balanced advantage fund direct plan  growth,INF761K01BO6,
127863,idfc ftp s-78(1096 days)_direct plan_growth,,
127887,axis fixed term plan - series 56 (370 days) - direct plan - growth,,
127894,axis fixed term plan - series 60 (389 days) - direct plan - growth,,
127899,lic mf rajiv gandhi equity savings scheme 2- direct plan - growth,,
127911,reliance fixed horizon fund - xxvi - series 1 - direct plan - growth option,,
127919,aditya birla sun life focused equity fund - series 2 - direct plan-growth,,
127944,idfc ftp s-79(1170 days)_direct plan_growth,,
127947,idfc ftp s-83(729 days)_direct plan_growth,,
127967,dhfl pramerica income fund - direct plan- growth option,,
127990,aditya birla sun life fixed term plan - series kk (1129 days) - direct plan-growth,,
127997,birla sun life fixed term plan - series kl (30 days) - direct plan-growth,,
128002,aditya birla sun life fixed term plan - series km (1099 days) - direct plan-growth,,
128006,kotak medium term fund - direct growth,INF174K01VQ5,
128010,idfc ftp s-84(1175 days)_direct plan_growth,,
128051,hdfc credit risk debt fund - growth option - direct plan,INF179KA1FZ3,
128067,bnp paribas fixed term fund - series 29 b - direct plan - growth option,,
128082,reliance fixed horizon fund - xxvi - series 2 - direct plan - growth option,,
128132,uti ftif series xvii -xvii (395 days)-growth option - direct,,
128138,uti ftif series xvii -xviii (796 days)-growth option - direct,,
128151,axis fixed term plan - series 61 (1122 days) - direct plan - growth,,
128158,sbi debt fund series a - 6 direct - growth,,
128161,sbi debt fund series a - 7 direct - growth,,
128166,sbi debt fund series - 366 days - 54- direct plan - growth,,
128171,aditya birla sun life fixed term plan - series kn (1121 days) - direct plan-growth,,
128176,reliance dual advantage fixed tenure fund v - plan e - direct plan - growth option,,
128181,reliance fixed horizon fund - xxv - series 32 - direct plan - growth option,,
128185,reliance fixed horizon fund - xxv - series 33 - direct plan - growth option,,
128190,aditya birla sun life fixed term plan - series kp (1504 days) - direct plan-growth,,
128193,sbi debt fund series - 90 days - 84 - direct plan - growth,,
128199,reliance fixed horizon fund - xxv - series 34 - direct plan - growth option,,
128214,idfc ftp s-85(728 days)_direct plan_growth,,
128226,idfc ftp s-86(1175 days)_direct plan_growth,,
128231,sbi debt fund series - 90 days - 85 - direct plan - growth,,
128236,idbi flexi cap fund growth direct,,
128247,hsbc fixed term series 107 - direct plan growth option,,
128286,uti ftif series xvii -xix (398 days) - growth option - direct,,
128295,uti ftif series xvii -xx (369 days)-growth option - direct,,
