date,nav,scheme_code
31-08-2021,12.67480,144666
30-08-2021,12.67370,144666
27-08-2021,12.67030,144666
26-08-2021,12.66910,144666
25-08-2021,12.66800,144666
24-08-2021,12.66690,144666
23-08-2021,12.66580,144666
20-08-2021,12.66250,144666
18-08-2021,12.66020,144666
17-08-2021,12.65900,144666
13-08-2021,12.65460,144666
12-08-2021,12.65320,144666
11-08-2021,12.65190,144666
10-08-2021,12.65070,144666
09-08-2021,12.64950,144666
06-08-2021,12.64590,144666
05-08-2021,12.64470,144666
04-08-2021,12.64360,144666
03-08-2021,12.64260,144666
02-08-2021,12.64140,144666
30-07-2021,12.63790,144666
29-07-2021,12.63690,144666
28-07-2021,12.63570,144666
27-07-2021,12.63420,144666
26-07-2021,12.63300,144666
23-07-2021,12.62940,144666
22-07-2021,12.62820,144666
20-07-2021,12.62570,144666
19-07-2021,12.62440,144666
16-07-2021,12.62080,144666
15-07-2021,12.61980,144666
14-07-2021,12.61850,144666
13-07-2021,12.61710,144666
12-07-2021,12.61590,144666
09-07-2021,12.61230,144666
08-07-2021,12.61120,144666
07-07-2021,12.61010,144666
06-07-2021,12.60870,144666
05-07-2021,12.60780,144666
02-07-2021,12.60450,144666
01-07-2021,12.60360,144666
30-06-2021,12.60200,144666
29-06-2021,12.60080,144666
28-06-2021,12.59940,144666
25-06-2021,12.59490,144666
24-06-2021,12.59370,144666
23-06-2021,12.59210,144666
22-06-2021,12.59110,144666
21-06-2021,12.58970,144666
18-06-2021,12.58520,144666
17-06-2021,12.58350,144666
16-06-2021,12.58310,144666
15-06-2021,12.58250,144666
14-06-2021,12.58130,144666
11-06-2021,12.57780,144666
10-06-2021,12.57660,144666
09-06-2021,12.57570,144666
08-06-2021,12.57430,144666
07-06-2021,12.57310,144666
04-06-2021,12.56930,144666
03-06-2021,12.56790,144666
02-06-2021,12.56680,144666
01-06-2021,12.56530,144666
31-05-2021,12.56380,144666
28-05-2021,12.56030,144666
27-05-2021,12.55870,144666
25-05-2021,12.55670,144666
24-05-2021,12.55490,144666
21-05-2021,12.55120,144666
20-05-2021,12.55050,144666
19-05-2021,12.54950,144666
18-05-2021,12.54800,144666
17-05-2021,12.54690,144666
14-05-2021,12.54280,144666
12-05-2021,12.54080,144666
11-05-2021,12.53910,144666
10-05-2021,12.53700,144666
07-05-2021,12.53500,144666
06-05-2021,12.53370,144666
05-05-2021,12.53260,144666
04-05-2021,12.53290,144666
03-05-2021,12.53150,144666
30-04-2021,12.52770,144666
29-04-2021,12.52610,144666
28-04-2021,12.52390,144666
27-04-2021,12.52220,144666
26-04-2021,12.52020,144666
23-04-2021,12.51650,144666
22-04-2021,12.51490,144666
20-04-2021,12.51100,144666
19-04-2021,12.50960,144666
16-04-2021,12.50570,144666
15-04-2021,12.50150,144666
12-04-2021,12.49810,144666
09-04-2021,12.49420,144666
08-04-2021,12.49550,144666
07-04-2021,12.49440,144666
06-04-2021,12.49430,144666
05-04-2021,12.49170,144666
31-03-2021,12.48590,144666
30-03-2021,12.48250,144666
26-03-2021,12.47650,144666
25-03-2021,12.47320,144666
24-03-2021,12.47160,144666
23-03-2021,12.46640,144666
22-03-2021,12.46410,144666
19-03-2021,12.46100,144666
18-03-2021,12.45860,144666
17-03-2021,12.45700,144666
16-03-2021,12.45660,144666
15-03-2021,12.45490,144666
12-03-2021,12.45140,144666
10-03-2021,12.44930,144666
09-03-2021,12.44730,144666
08-03-2021,12.44560,144666
05-03-2021,12.44250,144666
04-03-2021,12.44170,144666
03-03-2021,12.44130,144666
02-03-2021,12.43840,144666
01-03-2021,12.43780,144666
26-02-2021,12.43520,144666
25-02-2021,12.43440,144666
24-02-2021,12.43500,144666
23-02-2021,12.43060,144666
22-02-2021,12.42880,144666
18-02-2021,12.42390,144666
17-02-2021,12.42090,144666
16-02-2021,12.41950,144666
15-02-2021,12.41710,144666
12-02-2021,12.41310,144666
11-02-2021,12.40800,144666
10-02-2021,12.40540,144666
09-02-2021,12.40380,144666
08-02-2021,12.40210,144666
05-02-2021,12.39890,144666
04-02-2021,12.39810,144666
03-02-2021,12.39580,144666
02-02-2021,12.39690,144666
01-02-2021,12.39560,144666
29-01-2021,12.39170,144666
28-01-2021,12.39200,144666
27-01-2021,12.38980,144666
25-01-2021,12.39060,144666
22-01-2021,12.38800,144666
21-01-2021,12.38750,144666
20-01-2021,12.38610,144666
19-01-2021,12.38490,144666
18-01-2021,12.38420,144666
15-01-2021,12.38620,144666
14-01-2021,12.38540,144666
13-01-2021,12.39010,144666
12-01-2021,12.38920,144666
11-01-2021,12.38870,144666
08-01-2021,12.39490,144666
07-01-2021,12.39350,144666
06-01-2021,12.39210,144666
05-01-2021,12.39180,144666
04-01-2021,12.38640,144666
01-01-2021,12.37850,144666
31-12-2020,12.37720,144666
30-12-2020,12.37680,144666
29-12-2020,12.37530,144666
28-12-2020,12.37090,144666
24-12-2020,12.36560,144666
23-12-2020,12.36520,144666
22-12-2020,12.36330,144666
21-12-2020,12.36040,144666
18-12-2020,12.35670,144666
17-12-2020,12.35590,144666
16-12-2020,12.35610,144666
15-12-2020,12.35700,144666
14-12-2020,12.35690,144666
11-12-2020,12.35120,144666
10-12-2020,12.35150,144666
09-12-2020,12.34970,144666
08-12-2020,12.34780,144666
07-12-2020,12.34560,144666
04-12-2020,12.34120,144666
03-12-2020,12.34070,144666
02-12-2020,12.34140,144666
01-12-2020,12.34190,144666
27-11-2020,12.33790,144666
26-11-2020,12.33680,144666
25-11-2020,12.33520,144666
24-11-2020,12.33390,144666
23-11-2020,12.33130,144666
20-11-2020,12.32630,144666
19-11-2020,12.32390,144666
18-11-2020,12.31860,144666
17-11-2020,12.31500,144666
13-11-2020,12.30920,144666
12-11-2020,12.30750,144666
11-11-2020,12.30630,144666
10-11-2020,12.30490,144666
09-11-2020,12.30370,144666
06-11-2020,12.29940,144666
05-11-2020,12.29760,144666
04-11-2020,12.29480,144666
03-11-2020,12.29560,144666
02-11-2020,12.29140,144666
29-10-2020,12.28610,144666
28-10-2020,12.28500,144666
27-10-2020,12.28420,144666
26-10-2020,12.28440,144666
23-10-2020,12.27750,144666
22-10-2020,12.27660,144666
21-10-2020,12.27580,144666
20-10-2020,12.27530,144666
19-10-2020,12.26940,144666
16-10-2020,12.26310,144666
15-10-2020,12.26000,144666
14-10-2020,12.25760,144666
13-10-2020,12.25290,144666
12-10-2020,12.24980,144666
09-10-2020,12.24290,144666
08-10-2020,12.23140,144666
07-10-2020,12.22990,144666
06-10-2020,12.22150,144666
05-10-2020,12.21710,144666
01-10-2020,12.21140,144666
30-09-2020,12.20890,144666
29-09-2020,12.20620,144666
28-09-2020,12.20760,144666
25-09-2020,12.20280,144666
24-09-2020,12.20280,144666
23-09-2020,12.20120,144666
22-09-2020,12.19990,144666
21-09-2020,12.19830,144666
18-09-2020,12.19490,144666
17-09-2020,12.19220,144666
16-09-2020,12.18820,144666
15-09-2020,12.18590,144666
14-09-2020,12.18190,144666
11-09-2020,12.17750,144666
10-09-2020,12.18330,144666
09-09-2020,12.18230,144666
08-09-2020,12.18040,144666
07-09-2020,12.18000,144666
04-09-2020,12.17700,144666
03-09-2020,12.17490,144666
02-09-2020,12.17170,144666
01-09-2020,12.17120,144666
31-08-2020,12.16600,144666
28-08-2020,12.15540,144666
27-08-2020,12.15980,144666
26-08-2020,12.15850,144666
25-08-2020,12.15730,144666
24-08-2020,12.15590,144666
21-08-2020,12.15620,144666
20-08-2020,12.15990,144666
19-08-2020,12.15440,144666
18-08-2020,12.15020,144666
17-08-2020,12.14800,144666
14-08-2020,12.14080,144666
13-08-2020,12.13820,144666
12-08-2020,12.13480,144666
11-08-2020,12.13140,144666
10-08-2020,12.13050,144666
07-08-2020,12.12610,144666
06-08-2020,12.12720,144666
05-08-2020,12.12740,144666
04-08-2020,12.12540,144666
03-08-2020,12.12420,144666
31-07-2020,12.11880,144666
30-07-2020,12.11080,144666
29-07-2020,12.11100,144666
28-07-2020,12.11010,144666
27-07-2020,12.11070,144666
24-07-2020,12.11070,144666
23-07-2020,12.11050,144666
22-07-2020,12.10320,144666
21-07-2020,12.10320,144666
20-07-2020,12.10300,144666
17-07-2020,12.10060,144666
16-07-2020,12.09810,144666
15-07-2020,12.09190,144666
14-07-2020,12.09040,144666
13-07-2020,12.08830,144666
10-07-2020,12.08310,144666
09-07-2020,12.07800,144666
08-07-2020,12.07210,144666
07-07-2020,12.06370,144666
06-07-2020,12.05970,144666
03-07-2020,12.05500,144666
02-07-2020,12.04370,144666
01-07-2020,12.04010,144666
30-06-2020,12.03790,144666
29-06-2020,12.03690,144666
26-06-2020,12.03040,144666
25-06-2020,12.01830,144666
24-06-2020,12.01430,144666
23-06-2020,12.01100,144666
22-06-2020,11.98500,144666
19-06-2020,11.98010,144666
18-06-2020,11.97210,144666
17-06-2020,11.96270,144666
16-06-2020,11.95950,144666
15-06-2020,11.95200,144666
12-06-2020,11.94170,144666
11-06-2020,11.93320,144666
10-06-2020,11.92660,144666
09-06-2020,11.91580,144666
08-06-2020,11.91230,144666
05-06-2020,11.91550,144666
04-06-2020,11.92120,144666
03-06-2020,11.91480,144666
02-06-2020,11.91090,144666
01-06-2020,11.91040,144666
29-05-2020,11.90970,144666
28-05-2020,11.91220,144666
27-05-2020,11.91070,144666
26-05-2020,11.90190,144666
22-05-2020,11.88730,144666
21-05-2020,11.85420,144666
20-05-2020,11.84330,144666
19-05-2020,11.83550,144666
18-05-2020,11.82750,144666
15-05-2020,11.81780,144666
14-05-2020,11.81670,144666
13-05-2020,11.80530,144666
12-05-2020,11.79750,144666
11-05-2020,11.78010,144666
08-05-2020,11.77240,144666
06-05-2020,11.75890,144666
05-05-2020,11.75390,144666
04-05-2020,11.74470,144666
30-04-2020,11.72620,144666
29-04-2020,11.72080,144666
28-04-2020,11.71510,144666
27-04-2020,11.72340,144666
24-04-2020,11.72320,144666
23-04-2020,11.73910,144666
22-04-2020,11.73000,144666
21-04-2020,11.72230,144666
20-04-2020,11.71640,144666
17-04-2020,11.69410,144666
16-04-2020,11.66230,144666
15-04-2020,11.64570,144666
13-04-2020,11.63710,144666
09-04-2020,11.62840,144666
08-04-2020,11.63290,144666
07-04-2020,11.64620,144666
03-04-2020,11.65140,144666
31-03-2020,11.64600,144666
30-03-2020,11.63110,144666
27-03-2020,11.61620,144666
26-03-2020,11.46250,144666
24-03-2020,11.45370,144666
23-03-2020,11.46290,144666
20-03-2020,11.48820,144666
19-03-2020,11.46440,144666
18-03-2020,11.52420,144666
