date,nav,scheme_code
30-09-2021,11.79350,144826
29-09-2021,11.79250,144826
28-09-2021,11.79150,144826
27-09-2021,11.79050,144826
24-09-2021,11.78760,144826
23-09-2021,11.78660,144826
22-09-2021,11.78560,144826
21-09-2021,11.78460,144826
20-09-2021,11.78360,144826
17-09-2021,11.78050,144826
16-09-2021,11.77960,144826
15-09-2021,11.77860,144826
14-09-2021,11.77770,144826
13-09-2021,11.77670,144826
09-09-2021,11.77260,144826
08-09-2021,11.77170,144826
07-09-2021,11.77060,144826
06-09-2021,11.76960,144826
03-09-2021,11.76660,144826
02-09-2021,11.76580,144826
01-09-2021,11.76470,144826
31-08-2021,11.76380,144826
30-08-2021,11.76270,144826
27-08-2021,11.75960,144826
26-08-2021,11.75830,144826
25-08-2021,11.75730,144826
24-08-2021,11.75610,144826
23-08-2021,11.75510,144826
20-08-2021,11.75190,144826
18-08-2021,11.74980,144826
17-08-2021,11.74870,144826
13-08-2021,11.74400,144826
12-08-2021,11.74270,144826
11-08-2021,11.74120,144826
10-08-2021,11.73990,144826
09-08-2021,11.73850,144826
06-08-2021,11.73440,144826
05-08-2021,11.73300,144826
04-08-2021,11.73180,144826
03-08-2021,11.73060,144826
02-08-2021,11.72940,144826
30-07-2021,11.72550,144826
29-07-2021,11.72420,144826
28-07-2021,11.72280,144826
27-07-2021,11.72110,144826
26-07-2021,11.71960,144826
23-07-2021,11.71530,144826
22-07-2021,11.71360,144826
20-07-2021,11.71060,144826
19-07-2021,11.70910,144826
16-07-2021,11.70410,144826
15-07-2021,11.70280,144826
14-07-2021,11.70100,144826
13-07-2021,11.69930,144826
12-07-2021,11.69780,144826
09-07-2021,11.69340,144826
08-07-2021,11.69210,144826
07-07-2021,11.69060,144826
06-07-2021,11.68870,144826
05-07-2021,11.68740,144826
02-07-2021,11.68320,144826
01-07-2021,11.68220,144826
30-06-2021,11.68010,144826
29-06-2021,11.67860,144826
28-06-2021,11.67690,144826
25-06-2021,11.67210,144826
24-06-2021,11.67050,144826
23-06-2021,11.66900,144826
22-06-2021,11.66750,144826
21-06-2021,11.66560,144826
18-06-2021,11.66080,144826
17-06-2021,11.65890,144826
16-06-2021,11.65820,144826
15-06-2021,11.65680,144826
14-06-2021,11.65540,144826
11-06-2021,11.65060,144826
10-06-2021,11.64930,144826
09-06-2021,11.64810,144826
08-06-2021,11.64650,144826
07-06-2021,11.64500,144826
04-06-2021,11.64010,144826
03-06-2021,11.63860,144826
02-06-2021,11.63690,144826
01-06-2021,11.63510,144826
31-05-2021,11.63360,144826
28-05-2021,11.62900,144826
27-05-2021,11.62700,144826
25-05-2021,11.62360,144826
24-05-2021,11.62200,144826
21-05-2021,11.61640,144826
20-05-2021,11.61490,144826
19-05-2021,11.61360,144826
18-05-2021,11.61210,144826
17-05-2021,11.60950,144826
14-05-2021,11.60270,144826
12-05-2021,11.59970,144826
11-05-2021,11.59820,144826
10-05-2021,11.59650,144826
07-05-2021,11.59150,144826
06-05-2021,11.58860,144826
05-05-2021,11.58720,144826
04-05-2021,11.58620,144826
03-05-2021,11.58630,144826
30-04-2021,11.58130,144826
29-04-2021,11.57990,144826
28-04-2021,11.57710,144826
27-04-2021,11.57540,144826
26-04-2021,11.57330,144826
23-04-2021,11.56830,144826
22-04-2021,11.56560,144826
20-04-2021,11.56050,144826
19-04-2021,11.55860,144826
16-04-2021,11.55500,144826
15-04-2021,11.55280,144826
12-04-2021,11.54070,144826
09-04-2021,11.53320,144826
08-04-2021,11.53230,144826
07-04-2021,11.53070,144826
06-04-2021,11.53000,144826
05-04-2021,11.52570,144826
31-03-2021,11.51690,144826
30-03-2021,11.51350,144826
26-03-2021,11.50580,144826
25-03-2021,11.50340,144826
24-03-2021,11.50150,144826
23-03-2021,11.49470,144826
22-03-2021,11.49280,144826
19-03-2021,11.48710,144826
18-03-2021,11.48460,144826
17-03-2021,11.48310,144826
16-03-2021,11.48150,144826
15-03-2021,11.47970,144826
12-03-2021,11.47200,144826
10-03-2021,11.46950,144826
09-03-2021,11.46650,144826
08-03-2021,11.46330,144826
05-03-2021,11.45800,144826
04-03-2021,11.45700,144826
03-03-2021,11.45540,144826
02-03-2021,11.45330,144826
01-03-2021,11.45190,144826
26-02-2021,11.44620,144826
25-02-2021,11.44510,144826
24-02-2021,11.44090,144826
23-02-2021,11.43780,144826
22-02-2021,11.43780,144826
18-02-2021,11.42980,144826
17-02-2021,11.42500,144826
16-02-2021,11.42190,144826
15-02-2021,11.41680,144826
12-02-2021,11.41170,144826
11-02-2021,11.40770,144826
10-02-2021,11.40490,144826
09-02-2021,11.40250,144826
08-02-2021,11.39060,144826
05-02-2021,11.38360,144826
04-02-2021,11.38100,144826
03-02-2021,11.37910,144826
02-02-2021,11.37830,144826
01-02-2021,11.37890,144826
29-01-2021,11.37330,144826
28-01-2021,11.37140,144826
27-01-2021,11.36860,144826
25-01-2021,11.36430,144826
22-01-2021,11.35900,144826
21-01-2021,11.35870,144826
20-01-2021,11.35690,144826
19-01-2021,11.35390,144826
18-01-2021,11.35230,144826
15-01-2021,11.35140,144826
14-01-2021,11.34690,144826
13-01-2021,11.34140,144826
12-01-2021,11.33950,144826
11-01-2021,11.32810,144826
08-01-2021,11.32760,144826
07-01-2021,11.32390,144826
06-01-2021,11.32080,144826
05-01-2021,11.31660,144826
04-01-2021,11.30400,144826
01-01-2021,11.29370,144826
31-12-2020,11.29090,144826
30-12-2020,11.28510,144826
29-12-2020,11.28300,144826
28-12-2020,11.27680,144826
24-12-2020,11.26800,144826
23-12-2020,11.26580,144826
22-12-2020,11.26370,144826
21-12-2020,11.25850,144826
18-12-2020,11.25020,144826
17-12-2020,11.24470,144826
16-12-2020,11.24430,144826
15-12-2020,11.25260,144826
14-12-2020,11.25130,144826
11-12-2020,11.24980,144826
10-12-2020,11.24760,144826
09-12-2020,11.24400,144826
08-12-2020,11.22970,144826
07-12-2020,11.22730,144826
04-12-2020,11.21980,144826
03-12-2020,11.21800,144826
02-12-2020,11.21710,144826
01-12-2020,11.21520,144826
27-11-2020,11.20820,144826
26-11-2020,11.20270,144826
25-11-2020,11.20060,144826
24-11-2020,11.19860,144826
23-11-2020,11.19610,144826
20-11-2020,11.18790,144826
19-11-2020,11.18510,144826
18-11-2020,11.18080,144826
17-11-2020,11.17720,144826
13-11-2020,11.16850,144826
12-11-2020,11.16640,144826
11-11-2020,11.16290,144826
10-11-2020,11.16060,144826
09-11-2020,11.15840,144826
06-11-2020,11.15210,144826
05-11-2020,11.14970,144826
04-11-2020,11.14760,144826
03-11-2020,11.14590,144826
02-11-2020,11.14300,144826
29-10-2020,11.13380,144826
28-10-2020,11.13290,144826
27-10-2020,11.13170,144826
26-10-2020,11.12950,144826
23-10-2020,11.12100,144826
22-10-2020,11.11960,144826
21-10-2020,11.11490,144826
20-10-2020,11.11150,144826
19-10-2020,11.10530,144826
16-10-2020,11.09730,144826
15-10-2020,11.09470,144826
14-10-2020,11.08940,144826
13-10-2020,11.08600,144826
12-10-2020,11.08160,144826
09-10-2020,11.07260,144826
08-10-2020,11.06270,144826
07-10-2020,11.05990,144826
06-10-2020,11.05440,144826
05-10-2020,11.03490,144826
01-10-2020,11.02360,144826
30-09-2020,11.01920,144826
29-09-2020,11.01810,144826
28-09-2020,11.01690,144826
25-09-2020,11.01010,144826
24-09-2020,11.00770,144826
23-09-2020,11.00510,144826
22-09-2020,11.00280,144826
21-09-2020,10.99820,144826
18-09-2020,10.98950,144826
17-09-2020,10.98400,144826
16-09-2020,10.98020,144826
