date,nav,scheme_code
10-08-2021,12.66180,144227
09-08-2021,12.66070,144227
06-08-2021,12.65750,144227
05-08-2021,12.65640,144227
04-08-2021,12.65530,144227
03-08-2021,12.65430,144227
02-08-2021,12.65320,144227
30-07-2021,12.64980,144227
29-07-2021,12.64870,144227
28-07-2021,12.64760,144227
27-07-2021,12.64650,144227
26-07-2021,12.64530,144227
23-07-2021,12.64200,144227
22-07-2021,12.64080,144227
20-07-2021,12.63860,144227
19-07-2021,12.63750,144227
16-07-2021,12.63410,144227
15-07-2021,12.63300,144227
14-07-2021,12.63190,144227
13-07-2021,12.63070,144227
12-07-2021,12.62960,144227
09-07-2021,12.62630,144227
08-07-2021,12.62510,144227
07-07-2021,12.62420,144227
06-07-2021,12.62300,144227
05-07-2021,12.62200,144227
02-07-2021,12.61840,144227
01-07-2021,12.61730,144227
30-06-2021,12.61600,144227
29-06-2021,12.61480,144227
28-06-2021,12.61350,144227
25-06-2021,12.60980,144227
24-06-2021,12.60850,144227
23-06-2021,12.60720,144227
22-06-2021,12.60610,144227
21-06-2021,12.60490,144227
18-06-2021,12.60110,144227
17-06-2021,12.59990,144227
16-06-2021,12.59870,144227
15-06-2021,12.59770,144227
14-06-2021,12.59650,144227
11-06-2021,12.59300,144227
10-06-2021,12.59180,144227
09-06-2021,12.59070,144227
08-06-2021,12.58940,144227
07-06-2021,12.58820,144227
04-06-2021,12.58460,144227
03-06-2021,12.58340,144227
02-06-2021,12.58240,144227
01-06-2021,12.58100,144227
31-05-2021,12.57990,144227
28-05-2021,12.57630,144227
27-05-2021,12.57490,144227
25-05-2021,12.57260,144227
24-05-2021,12.57140,144227
21-05-2021,12.56790,144227
20-05-2021,12.56680,144227
19-05-2021,12.56600,144227
18-05-2021,12.56480,144227
17-05-2021,12.56380,144227
14-05-2021,12.55970,144227
12-05-2021,12.55740,144227
11-05-2021,12.55580,144227
10-05-2021,12.55410,144227
07-05-2021,12.55160,144227
06-05-2021,12.55040,144227
05-05-2021,12.54940,144227
04-05-2021,12.54910,144227
03-05-2021,12.54780,144227
30-04-2021,12.54440,144227
29-04-2021,12.54320,144227
28-04-2021,12.54200,144227
27-04-2021,12.54070,144227
26-04-2021,12.53950,144227
23-04-2021,12.53590,144227
22-04-2021,12.53440,144227
20-04-2021,12.53120,144227
19-04-2021,12.53060,144227
