date,nav,scheme_code
20-11-2017,13.06440,132964
17-11-2017,13.05770,132964
16-11-2017,13.05560,132964
15-11-2017,13.05320,132964
14-11-2017,13.05080,132964
13-11-2017,13.04840,132964
10-11-2017,13.04130,132964
09-11-2017,13.03890,132964
08-11-2017,13.03660,132964
07-11-2017,13.03420,132964
06-11-2017,13.03190,132964
03-11-2017,13.02490,132964
02-11-2017,13.02250,132964
01-11-2017,13.02020,132964
31-10-2017,13.01790,132964
30-10-2017,13.01550,132964
27-10-2017,13.00860,132964
26-10-2017,13.00620,132964
25-10-2017,13.00400,132964
24-10-2017,13.00170,132964
23-10-2017,12.99940,132964
18-10-2017,12.98830,132964
17-10-2017,12.98590,132964
16-10-2017,12.98360,132964
13-10-2017,12.97660,132964
12-10-2017,12.97420,132964
11-10-2017,12.97190,132964
10-10-2017,12.96950,132964
09-10-2017,12.96720,132964
06-10-2017,12.96020,132964
05-10-2017,12.95790,132964
04-10-2017,12.95560,132964
03-10-2017,12.95310,132964
29-09-2017,12.94370,132964
28-09-2017,12.94120,132964
27-09-2017,12.93880,132964
26-09-2017,12.93650,132964
25-09-2017,12.93400,132964
22-09-2017,12.92700,132964
21-09-2017,12.92470,132964
20-09-2017,12.92240,132964
19-09-2017,12.92000,132964
18-09-2017,12.91760,132964
15-09-2017,12.91080,132964
14-09-2017,12.90840,132964
13-09-2017,12.90620,132964
12-09-2017,12.90380,132964
11-09-2017,12.90120,132964
08-09-2017,12.89440,132964
07-09-2017,12.89210,132964
06-09-2017,12.88990,132964
05-09-2017,12.88770,132964
04-09-2017,12.88560,132964
01-09-2017,12.87870,132964
31-08-2017,12.87620,132964
30-08-2017,12.87390,132964
29-08-2017,12.87160,132964
28-08-2017,12.86920,132964
24-08-2017,12.86090,132964
23-08-2017,12.85890,132964
22-08-2017,12.85680,132964
21-08-2017,12.85460,132964
18-08-2017,12.84650,132964
16-08-2017,12.84180,132964
14-08-2017,12.83690,132964
11-08-2017,12.82970,132964
10-08-2017,12.82730,132964
09-08-2017,12.82500,132964
08-08-2017,12.82230,132964
07-08-2017,12.81960,132964
04-08-2017,12.81280,132964
03-08-2017,12.81020,132964
02-08-2017,12.80710,132964
01-08-2017,12.80460,132964
31-07-2017,12.80240,132964
28-07-2017,12.79360,132964
27-07-2017,12.78880,132964
26-07-2017,12.78600,132964
25-07-2017,12.78370,132964
24-07-2017,12.78150,132964
21-07-2017,12.77420,132964
20-07-2017,12.77080,132964
19-07-2017,12.76850,132964
