date,nav,scheme_code
01-02-2019,12.82270,136096
31-01-2019,12.81660,136096
30-01-2019,12.81380,136096
29-01-2019,12.81120,136096
28-01-2019,12.80850,136096
25-01-2019,12.80060,136096
24-01-2019,12.79790,136096
23-01-2019,12.79520,136096
22-01-2019,12.79260,136096
21-01-2019,12.78990,136096
18-01-2019,12.78210,136096
17-01-2019,12.77940,136096
16-01-2019,12.77670,136096
15-01-2019,12.77410,136096
14-01-2019,12.77140,136096
11-01-2019,12.76350,136096
10-01-2019,12.76090,136096
09-01-2019,12.75820,136096
08-01-2019,12.75560,136096
07-01-2019,12.75290,136096
04-01-2019,12.74500,136096
03-01-2019,12.74240,136096
02-01-2019,12.73970,136096
01-01-2019,12.73690,136096
31-12-2018,12.73420,136096
28-12-2018,12.72560,136096
27-12-2018,12.72290,136096
26-12-2018,12.72010,136096
24-12-2018,12.71470,136096
21-12-2018,12.70670,136096
20-12-2018,12.70400,136096
19-12-2018,12.70130,136096
18-12-2018,12.69860,136096
17-12-2018,12.69590,136096
14-12-2018,12.68780,136096
13-12-2018,12.68500,136096
12-12-2018,12.68230,136096
11-12-2018,12.67950,136096
10-12-2018,12.67690,136096
07-12-2018,12.66890,136096
06-12-2018,12.66610,136096
05-12-2018,12.66330,136096
04-12-2018,12.66050,136096
03-12-2018,12.65760,136096
30-11-2018,12.64970,136096
29-11-2018,12.64730,136096
28-11-2018,12.64470,136096
27-11-2018,12.64200,136096
26-11-2018,12.64010,136096
22-11-2018,12.62790,136096
20-11-2018,12.62230,136096
19-11-2018,12.61950,136096
16-11-2018,12.61110,136096
15-11-2018,12.60820,136096
14-11-2018,12.60500,136096
13-11-2018,12.60120,136096
12-11-2018,12.59760,136096
09-11-2018,12.58800,136096
06-11-2018,12.57930,136096
05-11-2018,12.57630,136096
02-11-2018,12.56740,136096
01-11-2018,12.56420,136096
31-10-2018,12.56190,136096
30-10-2018,12.55980,136096
29-10-2018,12.55710,136096
26-10-2018,12.55230,136096
25-10-2018,12.55060,136096
