date,nav,scheme_code
05-02-2026,8.71000,152847
04-02-2026,8.78000,152847
03-02-2026,8.74000,152847
02-02-2026,8.63000,152847
30-01-2026,8.65000,152847
29-01-2026,8.64000,152847
28-01-2026,8.64000,152847
27-01-2026,8.59000,152847
23-01-2026,8.58000,152847
22-01-2026,8.65000,152847
21-01-2026,8.62000,152847
20-01-2026,8.65000,152847
19-01-2026,8.76000,152847
16-01-2026,8.80000,152847
14-01-2026,8.83000,152847
13-01-2026,8.83000,152847
12-01-2026,8.80000,152847
09-01-2026,8.84000,152847
08-01-2026,8.94000,152847
07-01-2026,9.06000,152847
06-01-2026,9.07000,152847
05-01-2026,9.09000,152847
02-01-2026,9.05000,152847
01-01-2026,9.01000,152847
31-12-2025,9.03000,152847
30-12-2025,8.95000,152847
29-12-2025,8.98000,152847
26-12-2025,9.02000,152847
24-12-2025,9.08000,152847
23-12-2025,9.08000,152847
22-12-2025,9.08000,152847
19-12-2025,9.04000,152847
18-12-2025,9.00000,152847
17-12-2025,9.00000,152847
16-12-2025,9.02000,152847
15-12-2025,9.05000,152847
12-12-2025,9.05000,152847
11-12-2025,9.03000,152847
10-12-2025,9.00000,152847
09-12-2025,9.01000,152847
08-12-2025,9.02000,152847
05-12-2025,9.12000,152847
04-12-2025,9.13000,152847
03-12-2025,9.10000,152847
02-12-2025,9.15000,152847
01-12-2025,9.17000,152847
28-11-2025,9.16000,152847
27-11-2025,9.16000,152847
26-11-2025,9.17000,152847
25-11-2025,9.13000,152847
24-11-2025,9.13000,152847
21-11-2025,9.15000,152847
20-11-2025,9.27000,152847
19-11-2025,9.26000,152847
18-11-2025,9.24000,152847
17-11-2025,9.34000,152847
14-11-2025,9.28000,152847
13-11-2025,9.24000,152847
12-11-2025,9.26000,152847
11-11-2025,9.21000,152847
10-11-2025,9.21000,152847
07-11-2025,9.19000,152847
06-11-2025,9.20000,152847
04-11-2025,9.32000,152847
03-11-2025,9.39000,152847
31-10-2025,9.35000,152847
30-10-2025,9.39000,152847
29-10-2025,9.39000,152847
28-10-2025,9.42000,152847
27-10-2025,9.44000,152847
24-10-2025,9.36000,152847
23-10-2025,9.35000,152847
20-10-2025,9.39000,152847
17-10-2025,9.33000,152847
16-10-2025,9.33000,152847
