date,nav,scheme_code
09-04-2019,12.88290,136000
08-04-2019,12.88110,136000
05-04-2019,12.87400,136000
04-04-2019,12.87170,136000
03-04-2019,12.86920,136000
02-04-2019,12.86690,136000
29-03-2019,12.85560,136000
28-03-2019,12.85150,136000
27-03-2019,12.84900,136000
26-03-2019,12.84670,136000
25-03-2019,12.84440,136000
22-03-2019,12.83740,136000
20-03-2019,12.83350,136000
19-03-2019,12.83130,136000
18-03-2019,12.82900,136000
15-03-2019,12.82220,136000
14-03-2019,12.82000,136000
13-03-2019,12.81780,136000
12-03-2019,12.81560,136000
11-03-2019,12.81330,136000
08-03-2019,12.80660,136000
07-03-2019,12.80440,136000
06-03-2019,12.80220,136000
05-03-2019,12.80000,136000
01-03-2019,12.79110,136000
28-02-2019,12.78880,136000
27-02-2019,12.78660,136000
26-02-2019,12.78430,136000
25-02-2019,12.78210,136000
22-02-2019,12.77530,136000
21-02-2019,12.77300,136000
20-02-2019,12.77210,136000
18-02-2019,12.76770,136000
15-02-2019,12.76090,136000
14-02-2019,12.75870,136000
13-02-2019,12.75650,136000
12-02-2019,12.75420,136000
11-02-2019,12.75200,136000
08-02-2019,12.74530,136000
07-02-2019,12.74300,136000
06-02-2019,12.73910,136000
05-02-2019,12.73700,136000
04-02-2019,12.73500,136000
01-02-2019,12.72850,136000
31-01-2019,12.72620,136000
30-01-2019,12.72390,136000
29-01-2019,12.72160,136000
28-01-2019,12.71900,136000
25-01-2019,12.71190,136000
24-01-2019,12.71090,136000
23-01-2019,12.70850,136000
22-01-2019,12.70590,136000
21-01-2019,12.70210,136000
18-01-2019,12.69470,136000
17-01-2019,12.69190,136000
16-01-2019,12.68930,136000
15-01-2019,12.68640,136000
14-01-2019,12.68390,136000
11-01-2019,12.67600,136000
10-01-2019,12.67330,136000
09-01-2019,12.67030,136000
08-01-2019,12.66720,136000
07-01-2019,12.66490,136000
04-01-2019,12.65710,136000
03-01-2019,12.65360,136000
02-01-2019,12.65140,136000
01-01-2019,12.64790,136000
31-12-2018,12.64590,136000
28-12-2018,12.63700,136000
27-12-2018,12.63360,136000
26-12-2018,12.63080,136000
24-12-2018,12.62570,136000
21-12-2018,12.61810,136000
20-12-2018,12.61580,136000
19-12-2018,12.61420,136000
18-12-2018,12.61090,136000
17-12-2018,12.60760,136000
14-12-2018,12.59960,136000
13-12-2018,12.59680,136000
12-12-2018,12.59360,136000
