date,nav,scheme_code
05-02-2026,35.39290,120285
04-02-2026,35.62000,120285
03-02-2026,35.56640,120285
02-02-2026,34.62360,120285
30-01-2026,35.05170,120285
29-01-2026,34.89150,120285
28-01-2026,34.89800,120285
27-01-2026,34.48520,120285
23-01-2026,34.46170,120285
22-01-2026,34.96850,120285
21-01-2026,34.75460,120285
20-01-2026,34.95660,120285
19-01-2026,35.59200,120285
16-01-2026,35.73600,120285
14-01-2026,35.78430,120285
13-01-2026,35.82360,120285
12-01-2026,35.82350,120285
09-01-2026,35.87650,120285
08-01-2026,36.28620,120285
07-01-2026,36.72500,120285
06-01-2026,36.62740,120285
05-01-2026,36.72850,120285
02-01-2026,36.80700,120285
01-01-2026,36.59800,120285
31-12-2025,36.64580,120285
30-12-2025,36.36100,120285
29-12-2025,36.48130,120285
26-12-2025,36.60770,120285
24-12-2025,36.68860,120285
23-12-2025,36.79260,120285
22-12-2025,36.67400,120285
19-12-2025,36.50040,120285
18-12-2025,36.14570,120285
17-12-2025,36.20180,120285
16-12-2025,36.38760,120285
15-12-2025,36.59450,120285
12-12-2025,36.53580,120285
11-12-2025,36.33030,120285
10-12-2025,36.17090,120285
09-12-2025,36.32080,120285
08-12-2025,36.15820,120285
05-12-2025,36.66440,120285
04-12-2025,36.60790,120285
03-12-2025,36.66350,120285
02-12-2025,36.78060,120285
01-12-2025,36.97330,120285
28-11-2025,36.97670,120285
27-11-2025,36.96150,120285
26-11-2025,36.97570,120285
25-11-2025,36.59420,120285
24-11-2025,36.56140,120285
21-11-2025,36.69680,120285
20-11-2025,36.97620,120285
19-11-2025,36.89820,120285
18-11-2025,36.78550,120285
17-11-2025,36.92440,120285
14-11-2025,36.79540,120285
13-11-2025,36.78430,120285
12-11-2025,36.90750,120285
11-11-2025,36.74980,120285
10-11-2025,36.64070,120285
07-11-2025,36.72540,120285
06-11-2025,36.69600,120285
04-11-2025,36.90460,120285
03-11-2025,37.06480,120285
31-10-2025,36.80710,120285
30-10-2025,36.96570,120285
29-10-2025,37.00790,120285
28-10-2025,36.81480,120285
27-10-2025,36.93250,120285
24-10-2025,36.75350,120285
23-10-2025,36.91970,120285
20-10-2025,36.76770,120285
17-10-2025,36.64640,120285
16-10-2025,36.66060,120285
15-10-2025,36.48940,120285
14-10-2025,36.28080,120285
13-10-2025,36.43020,120285
10-10-2025,36.44570,120285
09-10-2025,36.28030,120285
08-10-2025,36.13120,120285
07-10-2025,36.33740,120285
06-10-2025,36.34990,120285
03-10-2025,36.19960,120285
01-10-2025,36.05080,120285
30-09-2025,35.71560,120285
26-09-2025,35.73370,120285
25-09-2025,36.16850,120285
24-09-2025,36.41350,120285
23-09-2025,36.64590,120285
22-09-2025,36.72340,120285
19-09-2025,36.90140,120285
18-09-2025,36.91820,120285
17-09-2025,36.90760,120285
16-09-2025,36.72800,120285
15-09-2025,36.49390,120285
12-09-2025,36.37870,120285
11-09-2025,36.17380,120285
10-09-2025,36.14760,120285
09-09-2025,35.96520,120285
08-09-2025,35.93090,120285
05-09-2025,35.82930,120285
04-09-2025,35.78800,120285
03-09-2025,35.95360,120285
02-09-2025,35.67940,120285
01-09-2025,35.61580,120285
29-08-2025,35.26000,120285
28-08-2025,35.27830,120285
26-08-2025,35.62050,120285
25-08-2025,36.02970,120285
22-08-2025,36.02700,120285
21-08-2025,36.10480,120285
20-08-2025,36.13410,120285
19-08-2025,36.04710,120285
18-08-2025,35.92650,120285
14-08-2025,35.51300,120285
13-08-2025,35.52150,120285
12-08-2025,35.41770,120285
11-08-2025,35.45940,120285
08-08-2025,35.25920,120285
07-08-2025,35.62650,120285
06-08-2025,35.54870,120285
05-08-2025,35.76250,120285
04-08-2025,35.94690,120285
01-08-2025,35.83580,120285
31-07-2025,36.21590,120285
30-07-2025,36.42000,120285
29-07-2025,36.15820,120285
28-07-2025,35.92810,120285
25-07-2025,36.28430,120285
24-07-2025,36.74430,120285
23-07-2025,36.88870,120285
22-07-2025,36.97480,120285
21-07-2025,36.90150,120285
18-07-2025,36.84240,120285
17-07-2025,37.06280,120285
16-07-2025,37.15050,120285
15-07-2025,37.03120,120285
14-07-2025,36.86850,120285
11-07-2025,36.75120,120285
10-07-2025,36.70760,120285
09-07-2025,36.64060,120285
08-07-2025,36.48000,120285
07-07-2025,36.31910,120285
04-07-2025,36.40280,120285
03-07-2025,36.28800,120285
02-07-2025,36.28630,120285
01-07-2025,36.35070,120285
30-06-2025,36.58160,120285
27-06-2025,36.56690,120285
26-06-2025,36.25290,120285
25-06-2025,36.20240,120285
24-06-2025,35.93570,120285
23-06-2025,35.59760,120285
20-06-2025,35.67520,120285
19-06-2025,35.37240,120285
18-06-2025,35.77910,120285
17-06-2025,35.84730,120285
16-06-2025,35.99100,120285
13-06-2025,35.79160,120285
12-06-2025,36.03380,120285
11-06-2025,36.41210,120285
10-06-2025,36.40720,120285
09-06-2025,36.29800,120285
06-06-2025,35.91710,120285
05-06-2025,35.70980,120285
04-06-2025,35.62170,120285
03-06-2025,35.52590,120285
02-06-2025,35.49510,120285
30-05-2025,35.49530,120285
29-05-2025,35.64830,120285
28-05-2025,35.60900,120285
27-05-2025,35.69690,120285
26-05-2025,35.66270,120285
23-05-2025,35.49370,120285
22-05-2025,35.26190,120285
21-05-2025,35.27820,120285
20-05-2025,35.17630,120285
19-05-2025,35.48110,120285
16-05-2025,35.49930,120285
15-05-2025,35.36730,120285
14-05-2025,34.90560,120285
13-05-2025,34.55700,120285
12-05-2025,34.42210,120285
09-05-2025,33.13720,120285
08-05-2025,33.34140,120285
07-05-2025,33.55440,120285
06-05-2025,33.35800,120285
05-05-2025,33.95940,120285
02-05-2025,33.69290,120285
30-04-2025,33.79460,120285
29-04-2025,34.26690,120285
28-04-2025,34.44940,120285
25-04-2025,34.29360,120285
24-04-2025,34.95080,120285
23-04-2025,35.01050,120285
22-04-2025,35.03060,120285
21-04-2025,34.91600,120285
17-04-2025,34.43280,120285
16-04-2025,34.15500,120285
15-04-2025,34.24920,120285
11-04-2025,33.31860,120285
09-04-2025,32.68700,120285
08-04-2025,33.15050,120285
07-04-2025,32.52880,120285
04-04-2025,33.84250,120285
03-04-2025,34.77560,120285
02-04-2025,34.49050,120285
01-04-2025,34.11150,120285
31-03-2025,34.03460,120285
28-03-2025,34.03770,120285
27-03-2025,34.24800,120285
26-03-2025,34.06470,120285
25-03-2025,34.51380,120285
24-03-2025,34.98760,120285
21-03-2025,34.41130,120285
20-03-2025,33.89530,120285
19-03-2025,33.76330,120285
18-03-2025,33.32810,120285
17-03-2025,32.40010,120285
13-03-2025,32.43330,120285
12-03-2025,32.56030,120285
11-03-2025,32.51540,120285
10-03-2025,32.68900,120285
07-03-2025,33.37900,120285
06-03-2025,33.19520,120285
05-03-2025,32.81360,120285
04-03-2025,31.83790,120285
03-03-2025,31.69850,120285
28-02-2025,32.07640,120285
27-02-2025,32.63920,120285
25-02-2025,33.38400,120285
24-02-2025,33.51370,120285
21-02-2025,33.99440,120285
20-02-2025,34.35990,120285
19-02-2025,34.18160,120285
18-02-2025,33.63650,120285
17-02-2025,33.81770,120285
14-02-2025,34.11080,120285
