date,nav,scheme_code
05-02-2026,12.30040,150407
04-02-2026,12.24840,150407
03-02-2026,12.22730,150407
02-02-2026,12.18530,150407
30-01-2026,12.29910,150407
29-01-2026,12.27450,150407
28-01-2026,12.26660,150407
27-01-2026,12.22530,150407
23-01-2026,12.24830,150407
22-01-2026,12.25480,150407
21-01-2026,12.23320,150407
20-01-2026,12.22820,150407
19-01-2026,12.23300,150407
16-01-2026,12.22610,150407
14-01-2026,12.25240,150407
13-01-2026,12.26000,150407
12-01-2026,12.26110,150407
09-01-2026,12.25630,150407
08-01-2026,12.26890,150407
07-01-2026,12.29900,150407
06-01-2026,12.29650,150407
05-01-2026,12.31360,150407
02-01-2026,12.37130,150407
01-01-2026,12.35960,150407
31-12-2025,12.35260,150407
30-12-2025,12.33480,150407
29-12-2025,12.33780,150407
26-12-2025,12.31000,150407
24-12-2025,12.32530,150407
23-12-2025,12.25260,150407
22-12-2025,12.22960,150407
19-12-2025,12.29460,150407
18-12-2025,12.25690,150407
17-12-2025,12.25070,150407
16-12-2025,12.26130,150407
15-12-2025,12.25790,150407
12-12-2025,12.19270,150407
11-12-2025,12.16140,150407
10-12-2025,12.13300,150407
09-12-2025,12.13920,150407
08-12-2025,12.23130,150407
05-12-2025,12.24290,150407
04-12-2025,12.18440,150407
03-12-2025,12.18540,150407
02-12-2025,12.19620,150407
01-12-2025,12.18950,150407
28-11-2025,12.21380,150407
27-11-2025,12.27770,150407
26-11-2025,12.29090,150407
25-11-2025,12.29540,150407
24-11-2025,12.26800,150407
21-11-2025,12.23790,150407
20-11-2025,12.26150,150407
19-11-2025,12.24570,150407
18-11-2025,12.22760,150407
17-11-2025,12.19820,150407
14-11-2025,12.20370,150407
13-11-2025,12.24910,150407
12-11-2025,12.28130,150407
11-11-2025,12.27640,150407
10-11-2025,12.27330,150407
07-11-2025,12.27040,150407
06-11-2025,12.27540,150407
04-11-2025,12.26370,150407
03-11-2025,12.25110,150407
31-10-2025,12.28310,150407
30-10-2025,12.26980,150407
29-10-2025,12.34090,150407
28-10-2025,12.33550,150407
27-10-2025,12.34510,150407
24-10-2025,12.36420,150407
23-10-2025,12.39360,150407
20-10-2025,12.41060,150407
17-10-2025,12.43390,150407
16-10-2025,12.47540,150407
15-10-2025,12.49680,150407
14-10-2025,12.47040,150407
13-10-2025,12.48840,150407
10-10-2025,12.44940,150407
09-10-2025,12.41310,150407
08-10-2025,12.42510,150407
07-10-2025,12.41090,150407
06-10-2025,12.41510,150407
03-10-2025,12.37600,150407
01-10-2025,12.35810,150407
30-09-2025,12.28630,150407
26-09-2025,12.28960,150407
25-09-2025,12.28580,150407
24-09-2025,12.27050,150407
23-09-2025,12.27460,150407
22-09-2025,12.26980,150407
19-09-2025,12.28570,150407
18-09-2025,12.25890,150407
17-09-2025,12.29080,150407
