date,nav,scheme_code
19-04-2022,13.21460,145415
18-04-2022,13.21340,145415
13-04-2022,13.20680,145415
12-04-2022,13.20550,145415
11-04-2022,13.20420,145415
08-04-2022,13.20050,145415
07-04-2022,13.19940,145415
06-04-2022,13.19810,145415
05-04-2022,13.19690,145415
04-04-2022,13.19560,145415
31-03-2022,13.19020,145415
30-03-2022,13.18870,145415
29-03-2022,13.18740,145415
28-03-2022,13.18620,145415
25-03-2022,13.18230,145415
24-03-2022,13.18100,145415
23-03-2022,13.17960,145415
22-03-2022,13.17820,145415
21-03-2022,13.17700,145415
17-03-2022,13.17170,145415
16-03-2022,13.17020,145415
15-03-2022,13.16890,145415
14-03-2022,13.16750,145415
11-03-2022,13.16350,145415
10-03-2022,13.16220,145415
09-03-2022,13.16090,145415
08-03-2022,13.15950,145415
07-03-2022,13.15820,145415
04-03-2022,13.15420,145415
03-03-2022,13.15290,145415
02-03-2022,13.15180,145415
28-02-2022,13.14940,145415
25-02-2022,13.14530,145415
24-02-2022,13.14400,145415
23-02-2022,13.14270,145415
22-02-2022,13.14070,145415
21-02-2022,13.13970,145415
18-02-2022,13.13570,145415
17-02-2022,13.13460,145415
16-02-2022,13.13320,145415
15-02-2022,13.13160,145415
14-02-2022,13.12990,145415
11-02-2022,13.12600,145415
10-02-2022,13.12410,145415
09-02-2022,13.12080,145415
08-02-2022,13.11960,145415
04-02-2022,13.11400,145415
03-02-2022,13.11260,145415
02-02-2022,13.11090,145415
01-02-2022,13.11150,145415
31-01-2022,13.11050,145415
28-01-2022,13.10600,145415
27-01-2022,13.10390,145415
25-01-2022,13.10210,145415
24-01-2022,13.10080,145415
21-01-2022,13.09690,145415
20-01-2022,13.09560,145415
19-01-2022,13.09410,145415
18-01-2022,13.09450,145415
17-01-2022,13.09370,145415
14-01-2022,13.08950,145415
13-01-2022,13.08790,145415
12-01-2022,13.08600,145415
11-01-2022,13.08430,145415
10-01-2022,13.08300,145415
07-01-2022,13.07930,145415
06-01-2022,13.07760,145415
05-01-2022,13.07610,145415
04-01-2022,13.07380,145415
03-01-2022,13.07190,145415
31-12-2021,13.06710,145415
30-12-2021,13.06340,145415
29-12-2021,13.06190,145415
28-12-2021,13.05980,145415
27-12-2021,13.05840,145415
24-12-2021,13.05330,145415
23-12-2021,13.05140,145415
22-12-2021,13.05000,145415
21-12-2021,13.04860,145415
20-12-2021,13.04860,145415
17-12-2021,13.04500,145415
16-12-2021,13.04340,145415
15-12-2021,13.04400,145415
14-12-2021,13.04290,145415
13-12-2021,13.04200,145415
10-12-2021,13.03780,145415
09-12-2021,13.03650,145415
08-12-2021,13.03730,145415
07-12-2021,13.03330,145415
06-12-2021,13.03020,145415
03-12-2021,13.02610,145415
02-12-2021,13.02520,145415
01-12-2021,13.02370,145415
30-11-2021,13.02360,145415
29-11-2021,13.02200,145415
26-11-2021,13.01760,145415
25-11-2021,13.01520,145415
24-11-2021,13.01430,145415
23-11-2021,13.01370,145415
22-11-2021,13.01270,145415
18-11-2021,13.00610,145415
17-11-2021,13.00240,145415
16-11-2021,13.00160,145415
15-11-2021,12.99990,145415
12-11-2021,12.99630,145415
11-11-2021,12.99480,145415
10-11-2021,12.99270,145415
09-11-2021,12.99220,145415
08-11-2021,12.98820,145415
03-11-2021,12.97930,145415
02-11-2021,12.97760,145415
01-11-2021,12.97510,145415
29-10-2021,12.97180,145415
28-10-2021,12.96930,145415
27-10-2021,12.96800,145415
26-10-2021,12.96970,145415
25-10-2021,12.97250,145415
22-10-2021,12.96920,145415
21-10-2021,12.96810,145415
20-10-2021,12.96790,145415
18-10-2021,12.96730,145415
14-10-2021,12.96280,145415
13-10-2021,12.96190,145415
12-10-2021,12.96030,145415
11-10-2021,12.95720,145415
08-10-2021,12.95100,145415
07-10-2021,12.94840,145415
06-10-2021,12.94730,145415
05-10-2021,12.94850,145415
04-10-2021,12.94770,145415
01-10-2021,12.94390,145415
30-09-2021,12.94390,145415
29-09-2021,12.94120,145415
28-09-2021,12.94330,145415
27-09-2021,12.94220,145415
24-09-2021,12.93870,145415
23-09-2021,12.93960,145415
22-09-2021,12.93900,145415
21-09-2021,12.93880,145415
20-09-2021,12.93790,145415
17-09-2021,12.93410,145415
16-09-2021,12.93220,145415
15-09-2021,12.93060,145415
14-09-2021,12.92950,145415
13-09-2021,12.92850,145415
09-09-2021,12.92400,145415
08-09-2021,12.92260,145415
07-09-2021,12.92170,145415
06-09-2021,12.92040,145415
03-09-2021,12.91640,145415
02-09-2021,12.91420,145415
01-09-2021,12.91310,145415
31-08-2021,12.91010,145415
30-08-2021,12.90800,145415
27-08-2021,12.90390,145415
26-08-2021,12.90280,145415
25-08-2021,12.90030,145415
24-08-2021,12.89910,145415
23-08-2021,12.89590,145415
20-08-2021,12.89210,145415
18-08-2021,12.88860,145415
17-08-2021,12.88580,145415
13-08-2021,12.87810,145415
12-08-2021,12.87440,145415
11-08-2021,12.87200,145415
10-08-2021,12.87030,145415
09-08-2021,12.86800,145415
06-08-2021,12.86270,145415
05-08-2021,12.86370,145415
04-08-2021,12.86260,145415
03-08-2021,12.86190,145415
02-08-2021,12.85960,145415
30-07-2021,12.85560,145415
29-07-2021,12.85500,145415
28-07-2021,12.85220,145415
27-07-2021,12.85140,145415
26-07-2021,12.84860,145415
23-07-2021,12.84440,145415
22-07-2021,12.84210,145415
20-07-2021,12.83970,145415
19-07-2021,12.83530,145415
16-07-2021,12.83350,145415
15-07-2021,12.83060,145415
14-07-2021,12.82750,145415
13-07-2021,12.82480,145415
12-07-2021,12.82310,145415
09-07-2021,12.81960,145415
08-07-2021,12.81490,145415
07-07-2021,12.81060,145415
06-07-2021,12.80860,145415
05-07-2021,12.80830,145415
02-07-2021,12.80030,145415
01-07-2021,12.79560,145415
30-06-2021,12.79570,145415
29-06-2021,12.79390,145415
28-06-2021,12.79400,145415
25-06-2021,12.79020,145415
24-06-2021,12.78920,145415
23-06-2021,12.78920,145415
22-06-2021,12.78680,145415
21-06-2021,12.78540,145415
18-06-2021,12.78030,145415
17-06-2021,12.77770,145415
16-06-2021,12.77850,145415
15-06-2021,12.78130,145415
14-06-2021,12.78320,145415
11-06-2021,12.77860,145415
10-06-2021,12.77580,145415
09-06-2021,12.77240,145415
08-06-2021,12.77110,145415
07-06-2021,12.76850,145415
04-06-2021,12.76180,145415
03-06-2021,12.75900,145415
02-06-2021,12.75590,145415
01-06-2021,12.75450,145415
31-05-2021,12.75400,145415
28-05-2021,12.74940,145415
27-05-2021,12.74720,145415
25-05-2021,12.74480,145415
24-05-2021,12.74310,145415
21-05-2021,12.73850,145415
20-05-2021,12.73540,145415
19-05-2021,12.72990,145415
18-05-2021,12.73090,145415
17-05-2021,12.72800,145415
14-05-2021,12.72340,145415
12-05-2021,12.71970,145415
11-05-2021,12.72170,145415
10-05-2021,12.71910,145415
07-05-2021,12.71550,145415
06-05-2021,12.71710,145415
05-05-2021,12.71570,145415
04-05-2021,12.71330,145415
03-05-2021,12.71020,145415
30-04-2021,12.70350,145415
29-04-2021,12.70190,145415
28-04-2021,12.70030,145415
27-04-2021,12.69770,145415
26-04-2021,12.69680,145415
23-04-2021,12.68730,145415
22-04-2021,12.68520,145415
20-04-2021,12.67950,145415
19-04-2021,12.67580,145415
16-04-2021,12.66640,145415
15-04-2021,12.66450,145415
12-04-2021,12.65890,145415
09-04-2021,12.65180,145415
08-04-2021,12.65160,145415
07-04-2021,12.64850,145415
06-04-2021,12.65060,145415
05-04-2021,12.64410,145415
31-03-2021,12.63570,145415
30-03-2021,12.63110,145415
26-03-2021,12.62150,145415
25-03-2021,12.62000,145415
24-03-2021,12.61380,145415
23-03-2021,12.60910,145415
22-03-2021,12.60230,145415
19-03-2021,12.59220,145415
18-03-2021,12.58220,145415
17-03-2021,12.58130,145415
16-03-2021,12.58150,145415
15-03-2021,12.57860,145415
12-03-2021,12.57820,145415
10-03-2021,12.57570,145415
09-03-2021,12.57450,145415
08-03-2021,12.57230,145415
05-03-2021,12.56680,145415
04-03-2021,12.56950,145415
03-03-2021,12.57030,145415
02-03-2021,12.56670,145415
01-03-2021,12.56480,145415
26-02-2021,12.55750,145415
25-02-2021,12.55180,145415
24-02-2021,12.55080,145415
23-02-2021,12.54410,145415
22-02-2021,12.54560,145415
18-02-2021,12.54550,145415
17-02-2021,12.53790,145415
16-02-2021,12.53040,145415
15-02-2021,12.52330,145415
12-02-2021,12.51830,145415
11-02-2021,12.51470,145415
10-02-2021,12.51380,145415
09-02-2021,12.51790,145415
08-02-2021,12.51830,145415
05-02-2021,12.51110,145415
04-02-2021,12.50860,145415
03-02-2021,12.50880,145415
02-02-2021,12.51260,145415
01-02-2021,12.51600,145415
29-01-2021,12.52190,145415
28-01-2021,12.51630,145415
27-01-2021,12.51100,145415
25-01-2021,12.51000,145415
22-01-2021,12.50710,145415
21-01-2021,12.50690,145415
20-01-2021,12.50890,145415
19-01-2021,12.50090,145415
18-01-2021,12.50200,145415
15-01-2021,12.50640,145415
14-01-2021,12.50950,145415
13-01-2021,12.50800,145415
12-01-2021,12.51750,145415
11-01-2021,12.51990,145415
08-01-2021,12.52650,145415
07-01-2021,12.52350,145415
06-01-2021,12.52260,145415
05-01-2021,12.52080,145415
04-01-2021,12.51660,145415
01-01-2021,12.51020,145415
31-12-2020,12.50450,145415
30-12-2020,12.50730,145415
29-12-2020,12.50370,145415
28-12-2020,12.50080,145415
24-12-2020,12.49400,145415
23-12-2020,12.49270,145415
22-12-2020,12.49260,145415
21-12-2020,12.49330,145415
18-12-2020,12.48790,145415
17-12-2020,12.48170,145415
16-12-2020,12.48020,145415
15-12-2020,12.47910,145415
14-12-2020,12.47650,145415
11-12-2020,12.47580,145415
10-12-2020,12.47470,145415
09-12-2020,12.47740,145415
08-12-2020,12.47590,145415
07-12-2020,12.47140,145415
04-12-2020,12.46580,145415
03-12-2020,12.46390,145415
02-12-2020,12.46230,145415
01-12-2020,12.46860,145415
27-11-2020,12.46290,145415
26-11-2020,12.46160,145415
25-11-2020,12.45950,145415
24-11-2020,12.45340,145415
23-11-2020,12.45050,145415
20-11-2020,12.44820,145415
19-11-2020,12.44620,145415
18-11-2020,12.43550,145415
17-11-2020,12.42980,145415
13-11-2020,12.42400,145415
12-11-2020,12.41840,145415
11-11-2020,12.41210,145415
10-11-2020,12.41100,145415
09-11-2020,12.40920,145415
06-11-2020,12.40610,145415
05-11-2020,12.40420,145415
04-11-2020,12.39770,145415
03-11-2020,12.39320,145415
02-11-2020,12.38720,145415
29-10-2020,12.37430,145415
28-10-2020,12.37020,145415
27-10-2020,12.36840,145415
26-10-2020,12.36830,145415
23-10-2020,12.35960,145415
22-10-2020,12.35640,145415
21-10-2020,12.35450,145415
20-10-2020,12.35230,145415
19-10-2020,12.34210,145415
16-10-2020,12.33690,145415
15-10-2020,12.33850,145415
14-10-2020,12.33330,145415
13-10-2020,12.33250,145415
12-10-2020,12.32720,145415
09-10-2020,12.32010,145415
08-10-2020,12.30050,145415
07-10-2020,12.29640,145415
06-10-2020,12.29450,145415
05-10-2020,12.28170,145415
01-10-2020,12.27510,145415
30-09-2020,12.27410,145415
29-09-2020,12.26560,145415
28-09-2020,12.26640,145415
25-09-2020,12.26060,145415
24-09-2020,12.26010,145415
23-09-2020,12.25920,145415
22-09-2020,12.25750,145415
21-09-2020,12.25590,145415
18-09-2020,12.25040,145415
17-09-2020,12.24290,145415
16-09-2020,12.24100,145415
15-09-2020,12.23230,145415
14-09-2020,12.23030,145415
11-09-2020,12.22760,145415
10-09-2020,12.22130,145415
09-09-2020,12.22220,145415
08-09-2020,12.21580,145415
07-09-2020,12.23120,145415
04-09-2020,12.24040,145415
03-09-2020,12.23520,145415
02-09-2020,12.23180,145415
01-09-2020,12.22570,145415
31-08-2020,12.21020,145415
28-08-2020,12.19300,145415
27-08-2020,12.19360,145415
26-08-2020,12.19460,145415
25-08-2020,12.19820,145415
24-08-2020,12.19740,145415
21-08-2020,12.20340,145415
20-08-2020,12.21410,145415
19-08-2020,12.21020,145415
18-08-2020,12.20540,145415
17-08-2020,12.20770,145415
14-08-2020,12.19730,145415
13-08-2020,12.19490,145415
12-08-2020,12.17930,145415
11-08-2020,12.17420,145415
10-08-2020,12.17160,145415
07-08-2020,12.16530,145415
06-08-2020,12.16890,145415
05-08-2020,12.16740,145415
04-08-2020,12.16430,145415
03-08-2020,12.16320,145415
31-07-2020,12.15820,145415
30-07-2020,12.15110,145415
29-07-2020,12.15000,145415
28-07-2020,12.15140,145415
27-07-2020,12.15620,145415
24-07-2020,12.15810,145415
23-07-2020,12.15580,145415
22-07-2020,12.15200,145415
21-07-2020,12.15550,145415
20-07-2020,12.16470,145415
17-07-2020,12.15920,145415
16-07-2020,12.15370,145415
15-07-2020,12.14750,145415
14-07-2020,12.13490,145415
13-07-2020,12.13700,145415
10-07-2020,12.13380,145415
09-07-2020,12.12600,145415
08-07-2020,12.11960,145415
07-07-2020,12.10090,145415
06-07-2020,12.11330,145415
03-07-2020,12.09650,145415
02-07-2020,12.08990,145415
01-07-2020,12.08150,145415
