date,nav,scheme_code
15-07-2019,13.11080,136521
12-07-2019,13.10680,136521
11-07-2019,13.10550,136521
10-07-2019,13.07290,136521
09-07-2019,13.10450,136521
08-07-2019,13.07940,136521
05-07-2019,13.15910,136521
04-07-2019,13.20340,136521
03-07-2019,13.18990,136521
02-07-2019,13.17750,136521
01-07-2019,13.17440,136521
28-06-2019,13.16250,136521
27-06-2019,13.16300,136521
26-06-2019,13.14520,136521
25-06-2019,13.11840,136521
24-06-2019,13.08890,136521
21-06-2019,13.08600,136521
20-06-2019,13.10490,136521
19-06-2019,13.04830,136521
18-06-2019,13.05900,136521
17-06-2019,13.04750,136521
14-06-2019,13.09610,136521
13-06-2019,13.12100,136521
12-06-2019,13.11720,136521
11-06-2019,13.13450,136521
10-06-2019,13.11840,136521
07-06-2019,13.10760,136521
06-06-2019,13.10370,136521
04-06-2019,13.17790,136521
03-06-2019,13.19250,136521
31-05-2019,13.16930,136521
30-05-2019,13.17680,136521
29-05-2019,13.15820,136521
28-05-2019,13.20200,136521
27-05-2019,13.21080,136521
24-05-2019,13.14700,136521
23-05-2019,13.04710,136521
22-05-2019,13.05470,136521
21-05-2019,13.04160,136521
20-05-2019,13.08450,136521
17-05-2019,12.93170,136521
16-05-2019,12.90630,136521
15-05-2019,12.87470,136521
14-05-2019,12.89810,136521
13-05-2019,12.85690,136521
10-05-2019,12.91670,136521
09-05-2019,12.91500,136521
08-05-2019,12.92930,136521
07-05-2019,12.96570,136521
06-05-2019,13.00100,136521
03-05-2019,13.02010,136521
02-05-2019,13.00760,136521
30-04-2019,13.03080,136521
26-04-2019,13.03030,136521
25-04-2019,12.99380,136521
24-04-2019,13.01370,136521
23-04-2019,12.98090,136521
22-04-2019,12.98630,136521
18-04-2019,13.02730,136521
16-04-2019,13.04240,136521
15-04-2019,13.02700,136521
12-04-2019,13.01090,136521
11-04-2019,12.99000,136521
10-04-2019,12.98370,136521
09-04-2019,12.99350,136521
08-04-2019,12.96690,136521
05-04-2019,12.98790,136521
04-04-2019,12.96820,136521
03-04-2019,12.97650,136521
02-04-2019,13.01440,136521
29-03-2019,12.97190,136521
28-03-2019,12.94060,136521
27-03-2019,12.89280,136521
26-03-2019,12.89560,136521
25-03-2019,12.86030,136521
22-03-2019,12.87740,136521
20-03-2019,12.89550,136521
19-03-2019,12.90730,136521
18-03-2019,12.88760,136521
15-03-2019,12.86930,136521
14-03-2019,12.84590,136521
13-03-2019,12.84390,136521
12-03-2019,12.83540,136521
11-03-2019,12.80110,136521
08-03-2019,12.74610,136521
07-03-2019,12.75290,136521
06-03-2019,12.74470,136521
05-03-2019,12.73200,136521
01-03-2019,12.66300,136521
28-02-2019,12.62720,136521
27-02-2019,12.61950,136521
26-02-2019,12.61710,136521
25-02-2019,12.62410,136521
22-02-2019,12.60610,136521
21-02-2019,12.58610,136521
20-02-2019,12.56070,136521
18-02-2019,12.50820,136521
15-02-2019,12.52790,136521
14-02-2019,12.54760,136521
13-02-2019,12.55540,136521
12-02-2019,12.57440,136521
11-02-2019,12.57740,136521
08-02-2019,12.59950,136521
07-02-2019,12.64890,136521
06-02-2019,12.63210,136521
05-02-2019,12.59410,136521
04-02-2019,12.60390,136521
01-02-2019,12.61490,136521
31-01-2019,12.62100,136521
30-01-2019,12.57300,136521
29-01-2019,12.54060,136521
28-01-2019,12.52280,136521
25-01-2019,12.56760,136521
24-01-2019,12.57900,136521
23-01-2019,12.58780,136521
22-01-2019,12.60280,136521
21-01-2019,12.59970,136521
18-01-2019,12.60040,136521
17-01-2019,12.63270,136521
16-01-2019,12.63510,136521
